CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1	dasatinib	pKd=8.25	pKd=8.25	pKd=8.25	pKd=8.22
COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl	bosutinib	pKd=7.54	pKd=7.54	pKd=7.54	pKd=7.54
COc1cc(ccc1C(=O)c2ccccc2)c3nc([C@@H]4C[C@](C)(O)C4)n5ccnc(N)c35	CHEMBL2325959	pIC50=7.54
CCCC(=O)N1CCN(CC1)c2ccc(Nc3ncc(C(=O)Nc4c(F)cccc4Cl)c(NCC5CCCO5)n3)cc2	CHEMBL3426880	pIC50=7.55
C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc(cc3F)C(=O)c4ccccc4)c5c(N)nccn25	CHEMBL2325960	pIC50=7.55
CSc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1	CHEMBL386051	pKd=7.57
COC(C)(C)CCn1nc(Nc2c(C)cc(F)cc2C)c3cnc(Nc4ccccc4)nc13	CHEMBL521379	pKi=7.59
C(Nc1ncnc2oc(c3ccccc3)c(c4ccccc4)c12)[C@@H]5CCCO5	CHEMBL247070	pIC50=7.62
C(Cc1cccnc1)Nc2ccnc3oc(c4ccc(OCCN5CCCCC5)cc4)c(c6ccccc6)c23	CHEMBL437754	pIC50=7.7
CCOc1ccccc1Oc2nc(Nc3ccc(cc3)N4CCNCC4)ncc2C(=O)Nc5c(C)cccc5C	CHEMBL459044	pKi=7.7
CN(C)CCCn1nc(Nc2c(Cl)cccc2Cl)c3cnc(Nc4ccccc4)nc13	CHEMBL487054	pKi=7.7
CN(C)CCOc1ccc(cc1)c2[nH]c3ncnc(NC[C@@H]4CCCO4)c3c2C5=CCCC5	CHEMBL2087668	pKi=7.7
CN(C)[C@@H]1CCN(CCn2nc(Nc3c(Cl)cccc3Cl)c4cnc(Nc5ccccc5)nc24)C1	CHEMBL488061	pKi=7.7
COC(C)(C)CCn1nc(Nc2c(C)cc(F)cc2C)c3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nc13	CHEMBL514919	pKi=7.7
