NC1=NC(CC(=O)NC2=CC=C(CCNC[C@H](O)C3=CC=CC=C3)C=C2)=CS1	mirabegron	pEC50=7.64975214	pEC50=7.64975214	pEC50=7.64975214
N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O	droxidopa
CC(C)NCC(O)COc1cccc2ccccc12	CHEMBL27	pKi=7.0
CCCCCCCCN1C(=O)NN(C1=O)c2ccc(cc2)S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3	CHEMBL312364	pEC50=7.0
CCCCCCN1N=CN(C1=O)c2ccc(cc2)S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3	CHEMBL314893	pEC50=7.0
O[C@@H](CNCCOCCOCCNC(=O)CCCCCNC(=O)COc1ccc(\C=C\c2ccc3C=C4C=CC(=[N+]4[B-](F)(F)n23)c5cccs5)cc1)COc6ccccc6CC=C	CHEMBL1830618	pKd=7.0
O[C@@H](CNCCc1ccc(N\C(=N\c2ccc(I)cc2)\NC#N)cc1)c3cccnc3	CHEMBL126055	pEC50=7.0
O[C@@H](CNCCc1ccc(N\C(=N\c2cccc(F)c2)\NC#N)cc1)c3cccnc3	CHEMBL124668	pEC50=7.0
OC(COc1cccc2[nH]c3ccccc3c12)CN4CCC(CC4)N5C(=O)c6cccc7cccc(C5=O)c67	CHEMBL1083363	pKi=7.01
CCOP(=O)(Cc1ccc(NC(=O)[C@@](C)(NC[C@H](O)c2ccc(O)c(NS(=O)(=O)C)c2)c3ccc(OC)cc3)cc1)OCC	CHEMBL325425	pKi=7.03
CCOP(=O)(OCC)c1ccc(NC(=O)[C@@](C)(NC[C@H](O)c2ccc(O)c(NS(=O)(=O)C)c2)c3ccc(OC)cc3)cc1	CHEMBL401068	pKi=7.03
OC(CNCCNC(=O)CCCCCNC(=O)COc1ccc(\C=C\c2ccc3C=C4C=CC(=[N+]4[B-](F)(F)n23)c5cccs5)cc1)COc6cccc7ccccc67	CHEMBL1830488	pKd=7.03
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)N3N=NN(CCCC4CCCC4)C3=O)cc1)c5cccnc5	CHEMBL22375	pIC50=7.04
COc1ccc(cc1)[C@H](NC[C@H](O)c2ccc(O)c(NS(=O)(=O)C)c2)C(=O)Nc3ccc(Cl)cc3	CHEMBL118216	pKi=7.05
Cc1c(sc2ncnc(N3CCC(CC3)NCC(O)COc4ccccc4)c12)c5ccccc5	CHEMBL1258144	pKi=7.05
O[C@@H](CNCCc1ccc(N\C(=N\c2cc(Cl)cc(Cl)c2)\NC#N)cc1)c3cccnc3	CHEMBL338618	pEC50=7.05
CC(C)NCC(O)COc1cccc2[nH]ccc12	CHEMBL500	pIC50=7.06
