Nc1cc(ccn1)c2cc3C(=O)NCCc3[nH]2	CHEMBL254597	pIC50=7.55
Cc1cc(cc(N[C@@H]2CC[C@@H](O)CC2)n1)c3c[nH]c4ncccc34	CHEMBL2322681	pKi=7.57
O=C1NCc2[nH]c(cc12)c3ccncc3	CHEMBL250693	pIC50=7.57
CC1Cc2[nH]c(cc2C(=O)N1)c3ccnc(N)n3	CHEMBL495750	pIC50=7.59
C[C@H](NC1=NC(=O)\C(=C\c2c[nH]c3ncccc23)\S1)c4ccccc4	CHEMBL521003	pIC50=7.59
CNc1nccc(n1)n2ccc3ccc(cc23)C#N	CHEMBL2348182	pIC50=7.6
O=C1NC(=N/C/1=C\c2c[nH]c3ncccc23)N4CCCCC4	CHEMBL497063	pIC50=7.6
CC(C)(C)CCNC1=N\C(=C/c2c[nH]c3ncccc23)\C(=O)N1	CHEMBL484988	pIC50=7.62
Nc1nccc(n1)c2cc3C(=O)NCC(CCCOCc4ccccc4)c3[nH]2	CHEMBL522398	pIC50=7.62
CCCCn1c2CCNC(=O)c2cc1c3ccnc(N)n3	CHEMBL251247	pIC50=7.64
COc1ccc(cc1)c2[nH]c(cc2C(=O)N)c3ccncc3	CHEMBL1270424	pIC50=7.64
NC(=O)c1cc([nH]c1c2cccc(F)c2)c3ccncc3	CHEMBL1270016	pIC50=7.64
NC(=O)c1cc([nH]c1c2ccccc2)c3ccnc(N)n3	CHEMBL1270230	pIC50=7.66
NC(=O)c1cc([nH]c1c2cccs2)c3ccnc(N)n3	CHEMBL1269728	pIC50=7.66
C[C@H](NC1=N\C(=C/c2c[nH]c3ncccc23)\C(=O)N1)c4ccccc4	CHEMBL448860	pIC50=7.68
O=C1NC(=N/C/1=C\c2c[nH]c3ncccc23)NC4CCCCC4	CHEMBL499637	pIC50=7.68
O=C1NC(=N/C/1=C\c2c[nH]c3ncccc23)NCC4CCCO4	CHEMBL502296	pIC50=7.68
Cc1c2CCCCc2nc3sc4c(N)ncnc4c13	CHEMBL463118	pIC50=7.7
Cc1nc2sc3c(N)ncnc3c2c(C)c1CC=C	CHEMBL463119	pIC50=7.7
Cl.O=C1NCCc2[nH]c(cc12)c3ccncn3	CHEMBL1203954	pIC50=7.7
Fc1ccccc1[C@H](Nc2oc(nn2)c3c[nH]c4ncccc34)C5CC5	CHEMBL3093075	pIC50=7.7
O=C1NC(=N/C/1=C\c2c[nH]c3ncccc23)NCc4ccccc4	CHEMBL525012	pIC50=7.7
O=C1NCC(c2ccccc2)c3[nH]c(cc13)c4ccncc4	CHEMBL512744	pIC50=7.7
Nc1nccc(n1)c2cc3C(=O)NCC(c4ccccc4)c3[nH]2	CHEMBL522578	pIC50=7.72
NC(=O)c1cc([nH]c1c2ccccc2)c3nc(N)ncc3F	CHEMBL1271334	pIC50=7.75
O=C1NC(=N/C/1=C\c2c[nH]c3ncccc23)NCCc4ccccc4	CHEMBL526695	pIC50=7.75
O=C1NC(=N/C/1=C\c2c[nH]c3ncccc23)NCc4cccs4	CHEMBL444760	pIC50=7.75
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)C4CCCNC4	CHEMBL2030395	pIC50=7.82
Cc1cc(cc(NCc2ccccc2)n1)c3c[nH]c4ncccc34	CHEMBL2322680	pKi=7.82
O=C1NC(=N/C/1=C\c2c[nH]c3ncccc23)NCc4occc4	CHEMBL525228	pIC50=7.82
NC(=O)c1cc([nH]c1c2ccc(F)cc2)c3ccncc3	CHEMBL1270122	pIC50=7.85
Nc1nccc(n1)c2cc3C(=O)NCCc3n2C4CCC4	CHEMBL398833	pIC50=7.85
O=C1NCCc2[nH]c(cc12)c3ccnc4[nH]ccc34	CHEMBL253760	pIC50=7.85
CC(C)C1CNC(=O)c2cc([nH]c12)c3ccnc(N)n3	CHEMBL445340	pIC50=7.89
CC(C)Cn1c2CCNC(=O)c2cc1c3ccnc(N)n3	CHEMBL400270	pIC50=7.89
CC(C)NC1=N\C(=C/c2c[nH]c3ncccc23)\C(=O)N1	CHEMBL498717	pIC50=7.89
CC1CCC(CC1)NC2=N\C(=C/c3c[nH]c4ncccc34)\C(=O)N2	CHEMBL502564	pIC50=7.89
CC1Cc2[nH]c(cc2C(=O)N1)c3ccncc3	CHEMBL449148	pIC50=7.89
Cc1cc(cc(NC2CCCCC2)n1)c3c[nH]c4ncccc34	CHEMBL2322679	pKi=7.89
OC(=O)C1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030391	pIC50=7.89
CC(C)C1Cc2[nH]c(cc2C(=O)N1)c3ccnc(N)n3	CHEMBL522717	pIC50=7.92
CCCn1c2CCNC(=O)c2cc1c3ccnc(N)n3	CHEMBL398627	pIC50=7.92
Nc1nccc(n1)c2cc3C(=O)NCC(CCC(F)(F)F)c3[nH]2	CHEMBL498200	pIC50=7.92
Nc1nccc(n1)c2cc3C(=O)NCC(CCCO)c3[nH]2	CHEMBL496560	pIC50=7.92
CCOC(=O)C1=C(O\C(=C/c2c[nH]c3ncccc23)\C1=O)N4CCC(C)CC4	CHEMBL3670774	pIC50=7.96
CO[C@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030390	pIC50=7.96
F[C@@H]1CN[C@@H](C1)C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2	CHEMBL2030401	pIC50=7.96
Nc1nccc(n1)c2cc3C(=O)NC(Cc3[nH]2)C4CC4	CHEMBL523902	pIC50=7.96
Nc1nccc(n1)c2cc3C(=O)NCC(C4CCC4)c3[nH]2	CHEMBL497995	pIC50=7.96
Nc1nccc(n1)n2cc(c3ccccc3Cl)c4cnccc24	CHEMBL2348156	pIC50=7.96
CC(C)C1CNC(=O)c2cc([nH]c12)c3ccncc3	CHEMBL513429	pIC50=8.0
CC(C)NC1=NC(=O)\C(=C\c2c[nH]c3ncccc23)\S1	CHEMBL484991	pIC50=8.0
CC1CNC(=O)c2cc([nH]c12)c3ccncc3	CHEMBL495947	pIC50=8.0
CCc1c(C)nc2sc3c(N)ncnc3c2c1C	CHEMBL444981	pIC50=8.0
Fc1ccccc1C2=CC(=NC(=O)N2)c3ccc4[nH]ncc4c3	CHEMBL502268	pIC50=8.0
N[C@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030387	pIC50=8.0
O=C1NC(=CC(=N1)c2ccc3[nH]ncc3c2)c4ccccc4	CHEMBL526133	pIC50=8.0
O=C1NCCc2[nH]c(cc12)c3ccncc3	CHEMBL225519	pIC50=8.0
OC(=O)C1\C(=N\c2ccccc2)\O\C(=C/c3c[nH]c4ncccc34)\C1=O	CHEMBL3670771	pIC50=8.0
O[C@H]1CN[C@@H](C1)C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2	CHEMBL2030399	pIC50=8.04
CCOC(=O)C1\C(=N\c2ccc(CN(C)C)cc2C)\O\C(=C/c3c[nH]c4ncccc34)\C1=O	CHEMBL3670780	pIC50=8.05
Fc1cnccc1c2cc3C(=O)NCCc3[nH]2	CHEMBL253545	pIC50=8.05
NC(=O)c1cc([nH]c1c2ccccc2)c3ccncc3	CHEMBL1269057	pIC50=8.05
Nc1cc(ncn1)n2ccc3ccc(nc23)C#N	CHEMBL2348153	pIC50=8.05
O=C1N=C(NCc2ccccc2)S/C/1=C\c3c[nH]c4ncccc34	CHEMBL484990	pIC50=8.05
C1CCC(CC1)Nc2cc(ccn2)c3c[nH]c4ncccc34	CHEMBL2322678	pKi=8.06
CC(C)CC1Cc2[nH]c(cc2C(=O)N1)c3ccnc(N)n3	CHEMBL495953	pIC50=8.1
CC(C)OC(=O)C1\C(=N\N2CCOCC2)\O\C(=C/c3c[nH]c4ncccc34)\C1=O	CHEMBL3670789	pIC50=8.1
CC(N)C1=Nc2c(oc3ccc(Br)cc23)C(=O)N1	CHEMBL2030397	pIC50=8.1
CCOC(=O)C1\C(=N\N2CCN(CC(F)(F)F)CC2)\O\C(=C/c3c[nH]c4ncccc34)\C1=O	CHEMBL3670790	pIC50=8.1
CCn1c2CCNC(=O)c2cc1c3ccnc(N)n3	CHEMBL248853	pIC50=8.1
NC(=O)c1cc([nH]c1c2ccccc2)c3ccncc3F	CHEMBL1271441	pIC50=8.1
NC(=O)c1cc([nH]c1c2ccccc2F)c3ccncc3	CHEMBL1270015	pIC50=8.1
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)C4CNC4	CHEMBL2030392	pIC50=8.11
N#Cc1cc(cc(NC2CCCCC2)n1)c3c[nH]c4ncccc34	CHEMBL2322673	pKi=8.11
O[C@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030376	pIC50=8.11
CN1CCC[C@H]1C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2	CHEMBL2030398	pIC50=8.14
Nc1nccc(n1)c2cc3C(=O)NCC(CCOCc4ccccc4)c3[nH]2	CHEMBL498207	pIC50=8.16
Nc1nccc(n1)c2cc3C(=O)NCCc3[nH]2	CHEMBL402272	pIC50=8.16
Nc1nccc(n1)n2cc(c3cccnc3Cl)c4cnccc24	CHEMBL2348154	pIC50=8.16
O=C1NCCc2[nH]c(cc12)c3ccnc(Nc4ccccc4)n3	CHEMBL401396	pIC50=8.16
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)C4CCNCC4	CHEMBL2030396	pIC50=8.21
CC(C)C1Cc2[nH]c(cc2C(=O)N1)c3ccncc3	CHEMBL444154	pIC50=8.22
CC1CNC(=O)c2cc([nH]c12)c3ccnc(N)n3	CHEMBL459284	pIC50=8.22
CCC1(CC)CNC(=O)c2cc([nH]c12)c3ccncc3	CHEMBL459283	pIC50=8.22
CCOC(=O)C1=C(O\C(=C/c2c[nH]c3ncccc23)\C1=O)N4CCCCCC4	CHEMBL3670772	pIC50=8.22
COc1ccc2oc3C(=O)NC(=Nc3c2c1)[C@@H]4CCCN4	CHEMBL2030403	pIC50=8.22
O=C1NC(=CC(=N1)c2ccc3[nH]ncc3c2)c4cccc(OCc5ccccc5)c4	CHEMBL500662	pIC50=8.22
O[C@@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030386	pIC50=8.26
O[C@@H]1CC[C@H](CC1)Nc2cc(cc(n2)C#N)c3c[nH]c4ncccc34	CHEMBL2322675	pKi=8.26
CCC1(CC)CNC(=O)c2cc([nH]c12)c3ccnc(N)n3	CHEMBL449372	pIC50=8.3
CCC1CNC(=O)c2cc([nH]c12)c3ccnc(N)n3	CHEMBL526092	pIC50=8.3
CCOC(=O)C1\C(=N\c2ccc(OCCO)cc2F)\C=C(Cc3c[nH]c4ncccc34)C1=O	CHEMBL3670775	pIC50=8.3
Cc1c2CCCc2nc3sc4c(N)ncnc4c13	CHEMBL463117	pKi=8.3
Cc1nc2sc3c(N)ncnc3c2c4CCCCc14	CHEMBL505372	pIC50=8.3
Clc1cccc(c1)C2=CC(=NC(=O)N2)c3ccc4[nH]ncc4c3	CHEMBL508883	pIC50=8.3
NC(=O)c1cc([nH]c1c2ccccc2)c3nc(N)ncc3Cl	CHEMBL1271442	pIC50=8.3
Nc1nccc(n1)c2cc3C(=O)NCCc3n2CC(F)(F)F	CHEMBL430021	pIC50=8.3
Nc1nccc(n1)c2cc3C(=O)NC[C@@H](CCF)c3[nH]2	CHEMBL451570	pIC50=8.3
O=C1NC(Cc2[nH]c(cc12)c3ccncc3)C4CC4	CHEMBL525775	pIC50=8.3
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)[C@@H]4CCCN4	CHEMBL2030393	pIC50=8.32
CCOC(=O)C1=C(O\C(=C/c2c[nH]c3ncccc23)\C1=O)N4CCc5ccc(OC)cc5C4	CHEMBL3670788	pIC50=8.4
CCOC(=O)C1=C(O\C(=C/c2c[nH]c3ncccc23)\C1=O)N4CCc5ccccc5C4	CHEMBL3670778	pIC50=8.4
CCOC(=O)C1\C(=N\c2ccc3c[nH]nc3c2)\O\C(=C/c4c[nH]c5ncccc45)\C1=O	CHEMBL3670773	pIC50=8.4
CN(C)CCOC(=O)C1\C(=N\c2ccc(F)cc2F)\O\C(=C/c3c[nH]c4ncccc34)\C1=O	CHEMBL3670777	pIC50=8.4
Cc1nc2sc3c(N)ncnc3c2c(C)c1C	CHEMBL449600	pKi=8.4
F[C@H]1CN[C@@H](C1)C2=Nc3c(oc4ccc(Cl)cc34)C(=O)N2	CHEMBL2030404	pIC50=8.4
Nc1ncc(Br)c(n1)c2cc3C(=O)NCCc3[nH]2	CHEMBL253768	pIC50=8.4
Nc1nccc(n1)c2cc3C(=O)NCC(CCO)c3[nH]2	CHEMBL451213	pIC50=8.4
Nc1nccc(n1)c2cc3C(=O)NCCc3n2CC4CC4	CHEMBL250061	pIC50=8.4
O=C1C\C(=N\C2CCCCCC2)\O/C/1=C\c3c[nH]c4ncccc34	CHEMBL3670784	pIC50=8.4
O=C1N=C(NCc2occc2)S/C/1=C\c3c[nH]c4ncccc34	CHEMBL484146	pIC50=8.4
COc1ccc2oc3C(=O)NC(=Nc3c2c1)[C@@H]4C[C@@H](F)CN4	CHEMBL2030405	pIC50=8.41
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)CN4CCCC4	CHEMBL2030389	pIC50=8.43
F[C@H]1CN[C@@H](C1)C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2	CHEMBL2030400	pIC50=8.43
Clc1ccc(cc1)C(=O)CCCN2CCc3ccccc3C2	CHEMBL3818047	pKi=8.45
Clc1ccc2oc3C(=O)NC(=Nc3c2c1)[C@@H]4CCCN4	CHEMBL2030402	pIC50=8.47
N[C@@H]1CC[C@H](CC1)Nc2cc(cc(F)n2)c3c[nH]c4ncccc34	CHEMBL2322684	pKi=8.47
Fc1cc(cc(NC2CCCCC2)n1)c3c[nH]c4ncccc34	CHEMBL2322682	pKi=8.5
CC(C)CC1Cc2[nH]c(cc2C(=O)N1)c3ccncc3	CHEMBL496772	pIC50=8.52
CC(C)OC(=O)C1\C(=N\c2ccc(OCCO)cc2C)\O\C(=C/c3c[nH]c4ncccc34)\C1=O	CHEMBL3670782	pIC50=8.52
CC1(C)CNC(=O)c2cc([nH]c12)c3ccncc3	CHEMBL459285	pIC50=8.52
CCOC(=O)C1C(=O)\C(=C\c2c[nH]c3ncccc23)\O/C/1=N\N4CCOCC4	CHEMBL3670781	pIC50=8.52
CCOC(=O)C1\C(=N\c2ccc(NCCO)cc2C)\O\C(=C\c3c[nH]c4ncccc34)\C1=O	CHEMBL3670779	pIC50=8.52
COCCOC(=O)C1\C(=N\c2ccccc2Cl)\O\C(=C\c3c[nH]c4ncccc34)\C1=O	CHEMBL3670783	pIC50=8.52
Cc1cc(ccc1O)C2=NC(=O)NC(=C2)c3ccccc3	CHEMBL501724	pIC50=8.52
Cc1nc2sc3c(N)ncnc3c2c4CCCc14	CHEMBL510238	pKi=8.52
Nc1nccc(n1)c2cc3C(=O)NCC(CCF)c3[nH]2	CHEMBL443669	pIC50=8.52
Nc1nccc(n1)c2cc3C(=O)NCCc3n2CCF	CHEMBL250062	pIC50=8.52
O=C1NCC(C2CCC2)c3[nH]c(cc13)c4ccncc4	CHEMBL509776	pIC50=8.52
OCCCOC(=O)C1\C(=N\c2ccc(F)cc2)\O\C(=C\c3c[nH]c4ncccc34)\C1=O	CHEMBL3670776	pIC50=8.52
CC1(C)CNC(=O)c2cc([nH]c12)c3ccnc(N)c3	CHEMBL496961	pIC50=8.7
CCC1CNC(=O)c2cc([nH]c12)c3ccncc3	CHEMBL495757	pIC50=8.7
CCOC(=O)C1\C(=N\c2ccccc2Cl)\O\C(=C\c3c[nH]c4ncccc34)\C1=O	CHEMBL3670770	pIC50=8.7
Cc1cc(F)ccc1\N=C\2/CC(=O)\C(=C/c3c[nH]c4ncccc34)\O2	CHEMBL3670785	pIC50=8.7
