CC(=O)C1=C(C)C2=C(N=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2)N(C2CCCC2)C1=O	palbociclib	pIC50=7.82390881	pIC50=7.82390881	pIC50=7.82390881	pIC50=7.8
CN(C)C(=O)C1=CC2=C(N=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2)N1C1CCCC1	ribociclib	pIC50=7.40893555
COc1ccc(NC(=S)NC(=O)c2cn(nc2c3ccc(OC)cc3)c4ccccc4)cc1	CHEMBL2426395	pIC50=7.54
C[C@@H](CO)n1c2cnccc2c3cnc(Nc4ccc(cn4)N5CCNCC5)nc13	CHEMBL3237449	pIC50=7.54
CC1(C)CN(CCN1)c2ccc(Nc3ncc4c5ccncc5n(C6CCC6)c4n3)nc2	CHEMBL3702243	pIC50=7.55
CCN(CCO)C1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nc2	CHEMBL3642028	pIC50=7.55
CCN1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nn2	CHEMBL3702045	pIC50=7.57
CC[C@@H](C)n1c2cnccc2c3cnc(Nc4ccc(nn4)N5CCC(CC5)NC)nc13	CHEMBL3702218	pIC50=7.57
CN(C)C1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCC6)c4n3)nn2	CHEMBL3702247	pIC50=7.57
C[C@@H]1CN(CCN1)c2ccc(Nc3ncc4c5ccnc(F)c5n(C6CCCC6)c4n3)nn2	CHEMBL3702155	pIC50=7.57
O[C@@H]1CCN(C1)c2ccc(Nc3ncc4c5ccccc5n(C6CCCC6)c4n3)nc2	CHEMBL3702204	pIC50=7.57
C(Nc1ccc(Nc2ncc3c4ccncc4n(C5CCCC5)c3n2)nn1)C6CCNC6	CHEMBL3698728	pIC50=7.58
C1CCC(C1)n2c3cnccc3c4cnc(Nc5ccc(nn5)N6CCC(CC6)N7CCOCC7)nc24	CHEMBL3642003	pIC50=7.59
