COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pKd=7.66	pKd=7.66	pKd=7.66	pKd=7.66
Clc1cnc(Nc2ccc(cc2)N3CCOCC3)nc1NCc4cccc(NC(=O)C=C)c4	CHEMBL3601231	pIC50=7.54
CCOC(=O)N1CCC(CC1)Nc2nc(Nc3ccc(cc3C)N4CCOCC4)nc5[nH]cnc25	CHEMBL2047948	pIC50=7.55
CCOc1ccc2[nH]nc(c3cccc(c3)S(=O)(=O)N)c2c1	CHEMBL2380577	pIC50=7.55
COc1cc(ccc1Nc2ncc(C)c(NC3CCCCC3)n2)N4CCN(CC4)S(=O)(=O)C	CHEMBL3092026	pIC50=7.55
Clc1ccccc1Nc2cc3[nH]c(cc3cn2)c4cn[nH]c4	CHEMBL3109955	pIC50=7.55
Cn1cc(cn1)c2cc3cnc(Nc4ccc(cc4Cl)c5cccnc5)cc3n2C(=O)OC(C)(C)C	CHEMBL3109946	pIC50=7.55
CN(C)S(=O)(=O)c1ccc(Nc2cc3[nH]c(cc3cn2)c4cnn(C)c4)c(Cl)c1	CHEMBL3109969	pIC50=7.57
COC(C(=O)Nc1ccc2[nH]nc(c3cccc(c3)S(=O)(=O)N)c2c1)c4ccccc4	CHEMBL3330401	pIC50=7.59
CO[C@H](C(=O)Nc1ccc2[nH]nc(c3cccc(c3)S(=O)(=O)N)c2c1)c4ccccc4	CHEMBL3330402	pIC50=7.59
COc1ccccc1Nc2cc3[nH]c(cc3cn2)c4ocnc4	CHEMBL3109962	pIC50=7.59
CNc1nc(Nc2ccc(cc2OC)C(=O)N3CCOCC3)ncc1C(F)(F)F	CHEMBL2171745	pKi=7.6
COc1ccc(Nc2cc3[nH]c(cc3cn2)c4cn[nH]c4)cc1OC	CHEMBL3109932	pIC50=7.6
COc1ccccc1Nc2cc3[nH]c(cc3cn2)c4cn[nH]c4	CHEMBL3109953	pIC50=7.6
Cc1ccccc1CC(=O)Nc2ccc3[nH]nc(c4cccc(c4)S(=O)(=O)N)c3c2	CHEMBL3330273	pIC50=7.6
CCC(C(=O)Nc1ccc2[nH]nc(c3cccc(c3)S(=O)(=O)N)c2c1)c4ccccc4	CHEMBL3330279	pIC50=7.62
Cc1cc(ccc1Nc2ncc3ccnc(c4cnn(C)c4)c3n2)c5cnn(C)c5	CHEMBL3808838	pIC50=7.62
O=C(NC1CC1)c2ccc(cc2)c3cnn4c(NCCN5CCOCC5)nc(Oc6ccccc6)nc34	CHEMBL3817849	pIC50=7.62
OC1CCN(CC1)c2ccc(cc2)c3n[nH]c4ccc(cc34)C(=O)NC(C5CC5)c6ccsc6	CHEMBL3422064	pIC50=7.62
COc1cc(ccc1Nc2cc3[nH]c(cc3cn2)c4cnn(C)c4)C(=O)N(C)C	CHEMBL3109968	pIC50=7.64
COc1cc(ccc1Nc2ncc3CCc4c(C(=O)N)c(C)n(C)c4c3n2)N5CCN(C)CC5	CHEMBL3703177	pIC50=7.64
CN(C)C(=O)c1ccc(Nc2cc3c(cn2)cc(c4ocnc4)n3C(=O)OC(C)(C)C)c(Cl)c1	CHEMBL3109940	pIC50=7.66
COc1cc(ccc1Nc2ncc3ccnc(N[C@H](C)C(C)(C)C)c3n2)c4cnn(C)c4	CHEMBL3809210	pIC50=7.66
Cc1cc(ccc1Nc2ncc3ccn(C4CCCCC4)c3n2)N5CCOCC5	CHEMBL3092029	pIC50=7.66
C(c1ccc(Nc2cc3[nH]c(cc3cn2)c4cn[nH]c4)cc1)n5cccn5	CHEMBL3109951	pIC50=7.68
CCc1cccc(CC)c1NC(=O)c2nn(C)c3c2CCc4cnc(Nc5ccc(cc5OC)C(=O)N6CCCN(C)CC6)nc34	CHEMBL1807305	pIC50=7.68
Cn1cc(cn1)c2cc3cnc(Nc4ccc(cc4Cl)c5cncnc5)cc3n2C(=O)OC(C)(C)C	CHEMBL3109948	pIC50=7.68
Cn1cc(cn1)c2cc3[nH]nc(c4cccc(c4)S(=O)(=O)N)c3cc2NC5CCCCC5	CHEMBL2380586	pIC50=7.69
CN(C)C1CCN(CC1)C(=O)c2ccc(Nc3cc4[nH]c(cc4cn3)c5cnn(C)c5)c(Cl)c2	CHEMBL3109971	pIC50=7.7
COc1cc(OC2CCN(C)CC2)ccc1Nc3nccc(n3)c4c[nH]c5cnccc45	CHEMBL3421972	pIC50=7.7
COc1cc(ccc1Nc2ncc3ccn(C4CCCCC4)c3n2)N5CCN(CC5)S(=O)(=O)C	CHEMBL3092030	pIC50=7.7
COc1cc(ccc1Nc2ncc3ccnc(N[C@@H](C)C(C)(C)C)c3n2)c4cnn(C)c4	CHEMBL3809829	pIC50=7.7
