CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)Nc2cccc3cccnc23	CHEMBL1622564	pKi=6.0
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)NC1CCCc2ccccc12.OC=O	CHEMBL1595439	pIC50=6.0
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2CC[C@H]3CCN(CCc4ccccc4)C[C@@H]23	CHEMBL1950720	pIC50=6.0
CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2C[C@H]3CCN(CCc4ccccc4)C[C@H]3N2C1=O	CHEMBL3233043	pIC50=6.0
CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2C[C@H]3CCN(CCc4ccccc4F)C[C@H]3N2C1=O	CHEMBL3236072	pIC50=6.0
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(CC4CCCCC4)cc23	CHEMBL3699962	pIC50=6.0
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(cc23)c4cocc4	CHEMBL3700024	pIC50=6.0
CC[C@H](N)C(=O)N[C@H]1[C@@H](CN)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL575807	pIC50=6.01
CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1CCC[C@H]1C(=O)NC2CCCc3ccccc23.OC=O	CHEMBL1373744	pIC50=6.01
CC(C)S(=O)(=O)c1cc2N(CC(C)(C)c2cc1F)C(=O)CN3CCN[C@H](C)C3	CHEMBL3696518	pIC50=6.02
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ccc(Cl)cc23)[C@@H](CO)CN1	CHEMBL3696507	pIC50=6.02
CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2C[C@H]3CCN(C[C@H]3N2C1=O)C(=O)C(c4ccccc4)c5ccccc5	CHEMBL3236382	pIC50=6.03
Cl.CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)C)c2ccccc2N(Cc3cccc4ccccc34)C1=O	CHEMBL2436320	pIC50=6.03
COC[C@H]1CN[C@H](C)CN1CC(=O)N2C[C@@](C)(COC)c3ccc(Br)cc23	CHEMBL3700046	pIC50=6.04
C[C@@H]1CN(CC(=O)N2CCc3ccc(Cc4ccccc4)cc23)CCN1	CHEMBL3696500	pIC50=6.04
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2C[C@@H]3CC[C@H]2N(CCc4ccccc4)C3	CHEMBL1950864	pKd=6.05
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC\N=C(/N)\N[N+](=O)[O-])C(=O)NC1CCCc2ccccc12.OC=O	CHEMBL1627151	pIC50=6.06
CC[C@H](N1CCCC1)C(=O)N[C@H]2CCCC[C@H]3CC[C@H](N3C2=O)C(=O)NC(c4ccccc4)c5ccccc5	CHEMBL519053	pKi=6.07
CN[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)N1CCC[C@H]1C(=O)NC2CCCc3ccccc23.OC=O	CHEMBL1482752	pIC50=6.07
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(Cc4ccc(OC)cc4)cc23	CHEMBL3699979	pIC50=6.07
CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL481422	pIC50=6.09
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cc(c(Cl)cc23)c4onc(C)n4	CHEMBL3700020	pIC50=6.09
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3cc(F)c(cc23)S(=O)(=O)C4CC4)CCN1	CHEMBL3699944	pIC50=6.09
CC(C)[C@H](NC(=O)[C@H](C)N)C(=O)N1CC(O)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O	CHEMBL435497	pKd=6.1
CC(C)[C@H](NC(=O)[C@H](C)N)C(=O)N1CCC[C@H]1C(=O)NC(c2ccccc2)c3ccccc3.OC(=O)C(F)(F)F	CHEMBL1378832	pIC50=6.1
CC(C)[C@H](NC(=O)[C@H](C)NC[C@H](O)CO)C(=O)N1CCC[C@H]1C(=O)NCC(c2ccccc2)c3ccccc3	CHEMBL2063865	pKi=6.1
CC[C@H](C)[C@H](NC(=O)[C@H](C)NC)C(=O)N1CCC[C@H]1C(=O)NC(c2ccccc2)c3ccccc3	CHEMBL1617609	pKi=6.1
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3ccc(cc23)C#N	CHEMBL3699997	pIC50=6.1
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H]1CCCc2ccccc12	CHEMBL2403871	pKi=6.11
CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2SC(C)(C)C(N2C1=O)C(=O)Nc3cc(C)nn3c4ccccc4	CHEMBL3236070	pIC50=6.11
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cc(C)c(cc23)C#N	CHEMBL3700013	pIC50=6.11
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ccc(Cc4ccccc4)cc23)[C@@H](CO)CN1	CHEMBL3696509	pIC50=6.11
CC[C@H](N)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@H](c3ccccc3)c4ccc5ccccc5c4	CHEMBL520870	pKi=6.12
COC[C@H]1CN[C@H](C)CN1CC(=O)N2C[C@](C)(c3onc(C)c3)c4ccc(Cc5ccccc5)cc24	CHEMBL3700049	pIC50=6.12
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)Nc2ccc3[nH]ccc3c2	CHEMBL1623582	pKi=6.13
CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2C[C@H]3CCN(C[C@H]3N2C1=O)C(=O)Cc4ccccc4	CHEMBL3236381	pIC50=6.13
C[C@H](N)C(=O)Nc1nc(c2ccc(Br)cc2)c(s1)c3ccccc3	CHEMBL181872	pKd=6.13
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H]2CCCc3ccccc23)Oc4ccccc4)C(C)(C)C	CHEMBL1230661	pKd=6.15
CN[C@@H](C)C(=O)N[C@H]1CN(CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)C(=O)c5ccc(cc5)C(=O)N6CC[C@H]7CC[C@H](N7C(=O)[C@H](C6)NC(=O)[C@H](C)NC)C(=O)NC(c8ccccc8)c9ccccc9	CHEMBL2158607	pIC50=6.15
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(cc23)C4CCCCC4	CHEMBL3699998	pIC50=6.15
Cl.CN[C@@H](C)C(=O)N[C@H]1CCc2ccccc2N(Cc3ccc(C)c4ccccc34)C1=O	CHEMBL2431757	pIC50=6.15
OC1=CC(=O)C(=C(CCc2ccccc2)C1=O)O	CHEMBL221647	pKi=6.15
CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1CCC[C@H]1C(=O)NC(c2ccccc2)c3ccccc3	CHEMBL1620893	pKi=6.16
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCc3ccc(Cl)cc3	CHEMBL2063867	pKi=6.16
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H]2CCCc3ccccc23)C(C)(C)C	CHEMBL2096803	pKd=6.16
CN[C@@H](C)C(=O)N[C@H]1Cc2ccccc2[C@H]3CCC[C@H](N3C1=O)C(=O)NC(c4ccccc4)c5ccccc5	CHEMBL515848	pKi=6.16
COCCOC(=O)C1=C(N)N(CCOC)C(=S)S1	CHEMBL1308993	pIC50=6.16
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)N[C@@H]2CCCc3ccccc23	CHEMBL2401761	pKi=6.17
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL1800335	pKi=6.18
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NC(c2ccccc2)c3ccccc3)c4ccccc4	CHEMBL1616828	pKi=6.18
CC(C)[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](C)C(=O)Nc1cccc2ccccc12	CHEMBL1617615	pKi=6.19
CC[C@H](N)C(=O)N[C@H]1[C@@H](CN(C)Cc2ccccc2)CC[C@H]3CC[C@H](N3C1=O)C(=O)NC(c4ccccc4)c5ccccc5	CHEMBL584395	pIC50=6.19
CN[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)N1CCC[C@H]1C(=O)NC(c2ccccc2)c3ccccc3	CHEMBL1617727	pKi=6.19
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3coc4ccccc34)[C@@H]12)C(C)(C)C	CHEMBL517406	pKi=6.19
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(Cl)cc23	CHEMBL3600735	pIC50=6.19
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3cc(F)c(cc23)S(=O)(=O)N4CCCC4)CCN1	CHEMBL3696515	pIC50=6.19
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ccc(Cl)cc23)[C@@H](Cn4cccn4)CN1	CHEMBL3700017	pIC50=6.19
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ccc(cc23)S(=O)(=O)c4ccccc4)CCN1	CHEMBL3696510	pIC50=6.19
Cl.Cl.CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3C[C@H]4C[C@H]4N3C[C@H]2C(=O)N[C@@H]5CCOc6ccccc56	CHEMBL3216595	pIC50=6.19
CC[C@H](C)[C@H](NC(=O)[C@H](C)NC)C(=O)N1CCC[C@H]1C(=O)NC2CCCc3ccccc23.OC=O	CHEMBL1456582	pIC50=6.2
Cl.CN[C@@H](C)C(=O)N[C@@H]1C(=O)N(Cc2c(C)ccc3ccccc23)c4ccccc4OC15CCOCC5	CHEMBL2431767	pIC50=6.2
CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H](c3ccccc3)c4cn(CCCCCCCCc5ccc(CCCCCCCCn6cc(nn6)[C@@H](NC(=O)[C@@H]7CC[C@@H]8CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N78)c9ccccc9)cc5)nn4	CHEMBL1774159	pIC50=6.21
CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H](c3ccccc3)c4cn(CCCCc5ccc(CCCCn6cc(nn6)[C@@H](NC(=O)[C@@H]7CC[C@@H]8CCCC[C@H](NC(=O)[C@H](Cc9c[nH]c%10ccccc9%10)NC(=O)C)C(=O)N78)c%11ccccc%11)cc5)nn4	CHEMBL1774166	pIC50=6.21
Cl.CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)c2ccccc2N(Cc3cccc4ccccc34)C1=O	CHEMBL2436321	pIC50=6.21
CC[C@H](NC)C(=O)N[C@H]1[C@@H](COC(=O)c2ccccc2)CC[C@H]3CC[C@H](N3C1=O)C(=O)NC(c4ccccc4)c5ccccc5	CHEMBL584392	pIC50=6.22
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H]2[C@H](CCc3ccccc23)OCC#C)C(C)(C)C	CHEMBL3108924	pIC50=6.22
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)NCc2ccccc2	CHEMBL1621745	pKi=6.23
CC[C@@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC(=O)[C@H](C)N)C(C)C)C(=O)O	CHEMBL373766	pKi=6.24
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)C(c3ccccc3)c4ccccc4)[C@@H]12)C(C)(C)C	CHEMBL479725	pKi=6.24
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)N(C)c3ccc(F)cc3)[C@@H]12)C(C)(C)C	CHEMBL517556	pKi=6.24
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(cc23)C(C)(F)F)[C@@H](CN4CCCC4=O)CN1	CHEMBL3700059	pIC50=6.24
