CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1	dasatinib	pKd=9.47	pKd=9.47	pKd=9.47	pKd=9.47
COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl	bosutinib	pKd=8.04	pKd=8.04	pKd=8.04	pKd=8.04
CN(C)C(=O)c1cccc(Nc2nccc(n2)N(C)c3cccc4[nH]ncc34)c1	CHEMBL1270075	pIC50=7.54
CN(c1cccc(C)c1)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2	CHEMBL1762523	pIC50=7.55
CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762538	pIC50=7.55
CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5ccccc5C	CHEMBL1762522	pIC50=7.55
COc1cccc(n1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2	CHEMBL1762534	pIC50=7.55
CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCCC4)n1)c5cc(CO)ccc5C	CHEMBL1762536	pIC50=7.57
COc1ccc(Br)cc1NC(=O)Nc2cccc(c2)c3cn4ccnc4c(NCc5ccncc5)n3	CHEMBL1080639	pIC50=7.59
CN(c1ccnc(Nc2cc(CN3CCOCC3)cc(c2)N4CCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762541	pIC50=7.6
CS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4OCOc34)n2)c1	CHEMBL445162	pIC50=7.6
CN(c1ccnc(Nc2cc(nc(n2)N3CCOCC3)N4CCOCC4)n1)c5cccc6[nH]ncc56	CHEMBL1270378	pIC50=7.62
NC(=O)c1c(N)n(c2cc(ccc2F)C(=O)Nc3cccc(c3)C(F)(F)F)c4nc5ccccc5nc14	CHEMBL3321818	pIC50=7.62
CN(c1ccnc(Nc2cc(OC3CCOCC3)cc(c2)N4CCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762543	pIC50=7.64
CS(=O)(=O)c1cc(Nc2nccc(Nc3c(Cl)ccc4OCOc34)n2)cc(c1)C(=O)N	CHEMBL497195	pIC50=7.64
CN(c1ccnc(Nc2cccc(CO)c2)n1)c3cccc4[nH]ncc34	CHEMBL1269964	pIC50=7.68
COc1ccc(C)c(c1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2	CHEMBL1762527	pIC50=7.68
Cc1ccc(cc1n2c(N)c(C(=O)N)c3nc4ccccc4nc23)C(=O)Nc5cccc(c5)C(F)(F)F	CHEMBL3321817	pIC50=7.68
Nc1ncc(c2cccc(c2)S(=O)(=O)N)c3scc(c4ccc(F)c(Cl)c4)c13	CHEMBL241517	pIC50=7.68
NC(=O)c1c(N)n(c2cccc(NC(=O)c3cccc(c3)C(F)(F)F)c2)c4nc5ccccc5nc14	CHEMBL3321811	pIC50=7.7
NC(=O)c1c(N)n(c2cccc(c2)C(=O)Nc3cccc(c3)C(F)(F)F)c4nc5ccccc5nc14	CHEMBL3321816	pIC50=7.7
CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(C)ccc5C	CHEMBL1762526	pIC50=7.72
Nc1ncnc2c1c(nn2C3CCCC3)c4ccc(Cl)c(O)c4	CHEMBL1241676	pIC50=7.75
CC(C)n1nc(c2cc(O)cc(Br)c2)c3c(N)ncnc13	CHEMBL1242285	pIC50=7.77
CN(c1ccccc1)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2	CHEMBL1762521	pIC50=7.77
CN(c1ccnc(Nc2cc(cc(c2)C(=O)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762542	pIC50=7.77
Clc1ccc2OCOc2c1Nc3ccnc(Nc4cc(cc(c4)N5CCOCC5)N6CCOCC6)n3	CHEMBL468970	pIC50=7.77
Cc1cc(cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12)c5cc(O)ccc5Cl	CHEMBL400402	pIC50=7.8
CN(c1ccnc(Nc2cc(nc(n2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762551	pIC50=7.82
CS(=O)(=O)Nc1cc(Nc2nccc(Nc3c(Cl)ccc4OCOc34)n2)cc(NS(=O)(=O)C)c1	CHEMBL496968	pIC50=7.82
NC(=O)c1c(N)n(c2cc(NC(=O)c3cccc(c3)C(F)(F)F)ccc2F)c4nc5ccccc5nc14	CHEMBL3321813	pIC50=7.82
CCCCn1c(cn2c3C(=O)NC(=O)N(C)c3nc12)c4cc(ccc4C)c5cccc6[nH]ncc56	CHEMBL2333602	pIC50=7.85
CCN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762547	pIC50=7.85
CN(c1ccnc(Nc2cc(nc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762550	pIC50=7.85
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1n3c(N)c(C(=O)N)c4nc5ccccc5nc34	CHEMBL3321812	pIC50=7.85
Nc1ncc(c2ccccc2)c3occ(c4ccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)cc4)c13	CHEMBL241681	pIC50=7.85
CC(C)N(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762548	pIC50=7.89
CN(c1ccc(Cl)c(CO)c1)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2	CHEMBL1762531	pIC50=7.89
CN(c1ccnc(Nc2cccc(NS(=O)(=O)C)c2)n1)c3cccc4[nH]ncc34	CHEMBL1270182	pIC50=7.89
COc1ccnc(c1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2	CHEMBL1762533	pIC50=7.89
NC(=O)c1cc(Nc2nccc(Nc3c(Cl)ccc4OCOc34)n2)cc(c1)N5CCOCC5	CHEMBL517720	pIC50=7.89
CN(c1cccc(Cl)c1)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2	CHEMBL1762524	pIC50=7.92
CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762530	pIC50=7.92
COCCN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762549	pIC50=7.92
COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3F)ccnc2cc1OCCCN6CCOCC6	CHEMBL1230609	pKd=7.92
CS(=O)(=O)Nc1cc(Nc2nccc(Nc3c(Cl)ccc4OCOc34)n2)cc(c1)S(=O)(=O)C	CHEMBL523088	pIC50=7.92
CSc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1	CHEMBL386051	pKd=7.92
C1CN(CCO1)c2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc(c2)N6CCOCC6	CHEMBL1271187	pIC50=7.96
CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCCCC4)n1)c5cc(CO)ccc5C	CHEMBL1762537	pIC50=7.96
CN(c1ccnc(Nc2cc(cc(c2)S(=O)(=O)C)N3CCOCC3)n1)c4cc(CO)ccc4C	CHEMBL1762546	pIC50=7.96
CN(c1cccc(CO)c1)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2	CHEMBL1762528	pIC50=8.0
COc1cccc(c1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2	CHEMBL1762525	pIC50=8.0
CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cccc6[nH]ncc56	CHEMBL1269858	pIC50=8.05
COCCOc1cc(Nc2nccc(n2)N(C)c3cc(CO)ccc3C)cc(c1)N4CCOCC4	CHEMBL1762544	pIC50=8.1
Cc1cc(cc2nnc(Nc3ccc(OCC[N+]4([O-])CCCC4)cc3)nc12)c5c(Cl)cccc5Cl	CHEMBL256101	pKi=8.14
CC(C)N(c1ccnc(Nc2cc(cc(c2)S(=O)(=O)C)N3CCOCC3)n1)c4cc(CO)ccc4C	CHEMBL1738764	pIC50=8.16
CN(c1ccnc(Nc2cc(cc(c2)N3CCN(O)CC3)N4CCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762540	pIC50=8.16
COc1cc(CO)cc(c1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2	CHEMBL1762529	pIC50=8.16
Cc1ccc(O)cc1n2c(N)c(C(=O)N)c3nc4ccccc4nc23	CHEMBL3321809	pIC50=8.27
CN(c1ccnc(Nc2cc(nc(c2)N3CCOCC3)N4CCOCC4)n1)c5cccc6[nH]ncc56	CHEMBL1270280	pIC50=8.3
COc1cc(Nc2nccc(n2)N(C)c3cc(CO)ccc3C)cc(c1)N4CCOCC4	CHEMBL1762545	pIC50=8.3
COc1ccccc1n2c(cn3c4C(=O)NC(=O)N(C)c4nc23)c5cc(O)ccc5C	CHEMBL566515	pIC50=8.3
Nc1ncnc2c1c(cn2[C@@H]3C[C@H](CN4CCC4)C3)c5cccc(O)c5	CHEMBL3787112	pIC50=8.3
CN(c1ccnc(Nc2cc(cc(c2)N3CCN(C)CC3)N4CCOCC4)n1)c5cc(CO)ccc5C	CHEMBL1762539	pIC50=8.4
CN1C(=O)N(Cc2cnc(N)nc12)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C	CHEMBL459850	pEC50=8.4
COc1cncc(c1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2	CHEMBL1762535	pIC50=8.7
CS(=O)(=O)Nc1cc(Nc2nccc(Nc3c(Cl)ccc4OCOc34)n2)cc(c1)N5CCOCC5	CHEMBL523744	pIC50=8.7
CS(=O)(=O)c1cc(Nc2nccc(Nc3c(Cl)ccc4OCOc34)n2)cc(c1)N5CCOCC5	CHEMBL497198	pIC50=8.7
