CCNC(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1	amperozide	pIC50=6.34	pIC50=6.34	pIC50=6.34
CCCCCCCC\C=C/CCCCCCCC(=O)CBr	CHEMBL157736	pIC50=6.0
CN(C)C(=O)CCCCCCn1c(C)nc(c2ccccc2)c1c3ccccc3	CHEMBL445160	pIC50=6.01
COC1=NN(Cc2cccc(Oc3ccccc3)c2)C(=O)O1	CHEMBL3087177	pIC50=6.01
Clc1ccc(cc1)[C@H](OC2CN(C2)C(=O)N3CCCCC3)c4cccnc4Cl	CHEMBL555563	pIC50=6.01
O=C(N1CCN(CC1)C(c2ccccc2)c3ccccc3)n4nnc5cccnc45	CHEMBL3356957	pIC50=6.01
OC(=O)c1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL220729	pIC50=6.01
C[C@@H](OC(=O)CCCc1ccccc1)[C@@H]2[C@@H](OC(=O)C)N(C(=O)CCc3ccccc3)C2=O	CHEMBL568274	pIC50=6.02
C[C@@H](OC(=O)NCCc1ccccc1)[C@@H]2CN(C(=S)NCC=C)C2=O	CHEMBL2313946	pIC50=6.02
CN(Cc1ccccc1)C(=S)Sc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-]	CHEMBL2158928	pIC50=6.03
COc1ccccc1c2onc(c2)C(=O)NC34CC5CC(CC(C5)C3)C4	CHEMBL2414018	pIC50=6.04
Cn1ccc2cc(ccc12)c3ccc4oc(NC5CCCCC5)nc4c3	CHEMBL3222169	pIC50=6.04
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCCl	CHEMBL151167	pIC50=6.05
CN(Cc1ccccc1)C(=O)N2CC(C2)O[C@@H](c3ccc(Cl)cc3)c4cccnc4Cl	CHEMBL1952280	pIC50=6.05
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5noc6ccccc56)c2)cc1	CHEMBL3112944	pIC50=6.05
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@@H]3CCc4cc(Oc5ccccc5)ccc4C3	CHEMBL1765850	pKi=6.06
OC(=O)c1oc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL219818	pIC50=6.07
CN(C)C(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3c(Sc4ccc(Cl)cn4)ncn3C	CHEMBL2386559	pIC50=6.08
C[C@@H](OC(=O)Cc1ccc(cc1)c2ccccc2)[C@@H]3[C@@H](OC(=O)C)N(C(=O)CCc4ccccc4)C3=O	CHEMBL584965	pIC50=6.08
