CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=6.21	pKd=6.21	pKd=6.21
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pKd=7.03	pKd=7.03	pKd=7.03
CCNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ncc(F)c(N)n4	CHEMBL3690515	pIC50=7.53
CCNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)C#Cc4cncn4C	CHEMBL3694657	pIC50=7.54
COc1cc2[nH]c(cc2cc1Cl)C(=O)c3cnn(c3N)c4ccc5[nH]c(C)nc5c4	CHEMBL3681303	pIC50=7.54
COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N4C[C@@H](C)N[C@@H](C)C4)n[nH]2)cc(OC)c1	CHEMBL3348846	pIC50=7.57
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5ccc(cc5[nH]4)c6cccnn6)c3N	CHEMBL3681246	pIC50=7.57
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cncnc4	CHEMBL3690406	pIC50=7.57
Cc1oc(nn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)N)c4	CHEMBL3694717	pIC50=7.58
CC(C)COC(=O)Nc1nc(ncc1F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694666	pIC50=7.59
COCCNc1cccc2[nH]c(cc12)C(=O)c3cnn(c3N)c4ccc5[nH]c(C)nc5c4	CHEMBL3681281	pIC50=7.59
Fc1cnc(nc1NC2CC2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690532	pIC50=7.59
[O-][N+](=O)c1ccccc1c2n[nH]cc2\C=C\3/C(=O)Nc4ccccc34	CHEMBL2347053	pIC50=7.6
OCCC#Cc1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3	CHEMBL3690384	pIC50=7.61
CNc1nc(ncc1N)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694703	pIC50=7.62
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)C#Cc4ccsc4	CHEMBL3690381	pIC50=7.62
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nccc(n4)N5CCC5	CHEMBL3690551	pIC50=7.62
NC1CN(C1)c2ccnc(n2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690547	pIC50=7.62
OC1CN(C1)c2ccnc(n2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690553	pIC50=7.62
Cc1ccnc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690422	pIC50=7.63
CCNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccnc(n4)C(F)(F)F	CHEMBL3690587	pIC50=7.64
CNc1nc(ncc1F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690514	pIC50=7.64
COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN5CCCC5	CHEMBL491473	pKd=7.64
Cc1cccnc1c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690467	pIC50=7.64
Cc1cnc(N)nc1c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690528	pIC50=7.64
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)C(=N)OC(=N)S	CHEMBL3647340	pIC50=7.65
COc1cc(OC)c(Cl)c(c1Cl)c2ccc(C(=O)Nc3ccc(CN4CCN(C)CC4)cn3)c5nccnc25	CHEMBL3653100	pIC50=7.66
COc1cc(OC)nc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690412	pIC50=7.66
Fc1ccc(cc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NC5CC5)c4	CHEMBL3690393	pIC50=7.66
COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)ccc3C)c2N)cc1	CHEMBL1684800	pIC50=7.67
FC(F)(F)CNC(=O)Nc1cc(Cl)cc(c1)c2cnc3cc(ccn23)c4ccnc(n4)C(F)(F)F	CHEMBL3694689	pIC50=7.68
CN1CCN(CC1)c2ccc(cc2)c3nc4c(N5CCN(CC(=O)Nc6nccs6)CC5)c(Cl)cnc4[nH]3	CHEMBL3401358	pIC50=7.7
COc1cc(OC)c(Cl)c(c1Cl)c2ccc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)cn3)c5nccnc25	CHEMBL3653117	pIC50=7.7
CNC(=O)c1cc(C)nc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690571	pIC50=7.72
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)C4=CC5=CC(F)C(CN6CCOCC6)C=C5N4)c3N	CHEMBL3681294	pIC50=7.72
Nc1cc(nc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4)C(F)(F)F	CHEMBL3694711	pIC50=7.72
OCCNc1nc(ncc1F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690516	pIC50=7.72
OC1CCN(CC1)c2ccnc(n2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690472	pIC50=7.73
CC#Cc1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3	CHEMBL3647345	pIC50=7.74
CN(C)c1nc(ncc1C)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690550	pIC50=7.75
CN1CCC(CC1)c2ccc3cc([nH]c3c2)C(=O)c4cnn(c4N)c5ccc6[nH]c(C)nc6c5	CHEMBL3681270	pIC50=7.75
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pIC50=7.75
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)C4=CC5C=CC=CC5N4)c3N	CHEMBL3676312	pIC50=7.75
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5c(NCCc6ccncc6)cccc5[nH]4)c3N	CHEMBL3681283	pIC50=7.75
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nccnn4	CHEMBL3690498	pIC50=7.75
OCCN1CC(C1)n2cc(cn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690566	pIC50=7.75
CCNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccc(F)c(C)n4	CHEMBL3690577	pIC50=7.77
CCOC(=O)Nc1nc(ncc1F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694705	pIC50=7.77
CN(C)c1cc(nc(n1)C(F)(F)F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690563	pIC50=7.77
Cc1cnnc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690499	pIC50=7.77
FC(F)(F)CNC(=O)Nc1cc(cc(c1)c2cnc3cc(ccn23)c4ccnc(n4)C(F)(F)F)C#N	CHEMBL3694691	pIC50=7.77
OCC#Cc1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3	CHEMBL3690391	pIC50=7.77
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ncc(cn4)C(F)(F)F	CHEMBL3690592	pIC50=7.78
FC(F)(F)CNC(=O)Nc1cncc(c1)c2cnc3cc(ccn23)C#CC4CC4	CHEMBL3690394	pIC50=7.78
CC(C)(C)OC(=O)NC1CN(C1)c2ccnc(n2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690544	pIC50=7.79
CN(N)\N=C(/N)\c1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3	CHEMBL3647341	pIC50=7.79
COc1cc(OC)c(Cl)c(c1Cl)c2ccc(C(=O)Nc3ncc(CN4CCN(C)CC4)[nH]3)c5nccnc25	CHEMBL3653130	pIC50=7.8
COc1cc(OC)c(F)c(c1F)c2ccc(C(=O)Nc3ccc(CN4CCN(C)CC4)cn3)c5ncccc25	CHEMBL3653127	pIC50=7.8
COc1cc(OC)c(F)c(c1F)c2ccc(C(=O)Nc3ncc(CN(C)C)[nH]3)c4nccnc24	CHEMBL3653135	pIC50=7.8
Cc1cc(NC(=O)NCC(F)(F)F)cc(c1)c2cnc3cc(ccn23)c4ncc(F)c(N)n4	CHEMBL3694683	pIC50=7.8
Cc1oc(nn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3647339	pIC50=7.8
CN[C@@H]1CC2OC([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL3683258	pIC50=7.81
CN(C)c1nc(ncc1F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690521	pIC50=7.82
Cc1cnc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690421	pIC50=7.82
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5cc(ccc5[nH]4)C6=CCNCC6)c3N	CHEMBL3681265	pIC50=7.82
Fc1cnc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690423	pIC50=7.84
COc1cc(OC)c(Cl)c(c1Cl)c2ccc(C(=O)Nc3ccc(CN4CCN(C)CC4)cn3)c5nc(C)c(C)nc25	CHEMBL3653119	pIC50=7.85
CS(=O)(=O)Nc1nc(ncc1F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694671	pIC50=7.85
Cc1cncc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690463	pIC50=7.85
Cc1nnc(nc1C)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690480	pIC50=7.87
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ncccn4	CHEMBL3690476	pIC50=7.87
