CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C	sunitinib	pKd=8.7	pKd=8.7	pKd=8.7	pKd=8.6
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=8.1	pKd=8.1	pKd=8.1	pKd=8.1
COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3C)c2cc1OC	CHEMBL481407	pIC50=7.54
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKd=7.55
CO[C@@H]1CC[C@H](CC1)N2C(=O)CNc3ncc(nc23)c4ccc(nc4)C(C)(C)O	CHEMBL3586404	pIC50=7.55
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(cc5)C(F)(F)C(F)(F)F	CHEMBL3673489	pIC50=7.55
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)c(F)c3)c2cc1OC	CHEMBL479846	pIC50=7.55
COc1ccc(COc2ccc(Cn3cnc4cc(ccc34)c5oc(nn5)C6CCCNC6)cc2OC)cn1	CHEMBL3673444	pIC50=7.55
COc1ccc(COc2ccc(Cn3cnc4cc(ccc34)C5CCOCC5)cc2OC)cn1	CHEMBL3673446	pIC50=7.57
COc1ccc(c2ccc(NC(=O)Nc3cc(C)ccc3F)cc2)c4c(N)noc14	CHEMBL270084	pIC50=7.57
COc1cc2ncc(C(=O)N)c(Nc3cccc(F)c3F)c2cc1OC	CHEMBL482192	pIC50=7.59
CN(c1ccc(NC(=O)c2oc(cc2)C#N)c(c1)N3CCCCC3)S(=O)(=O)C	CHEMBL400259	pIC50=7.6
COc1cc(Cn2cnc3cc(cnc23)C#CCCO)ccc1OCc4ccc(nc4)C(F)F	CHEMBL3678302	pIC50=7.6
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1OC	CHEMBL479847	pIC50=7.6
COc1ccc(cc1)c2ccc3c(Nc4ccccc4)c(cnc3c2)C(=O)N	CHEMBL251174	pIC50=7.6
CS(=O)(=O)Cc1cccc(c1)c2ccc3c(Nc4ccccc4)c(cnc3c2)C(=O)N	CHEMBL249139	pIC50=7.6
Fc1cccc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3	CHEMBL512385	pIC50=7.6
OCc1ccc(N2CCCCC2)c(NC(=O)c3oc(cc3)C#N)c1	CHEMBL399542	pIC50=7.6
CC1CCN(CC1)c2ccc(CO)cc2NC(=O)c3oc(cc3)C#N	CHEMBL400754	pIC50=7.62
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)c(cnc2cc1N4CCN(C)CC4)C(=O)N	CHEMBL519924	pIC50=7.62
COc1cc2c(Nc3ccc(F)cc3F)c(cnc2cc1NCCN(C)C)C(=O)N	CHEMBL479447	pIC50=7.64
COc1cc2c(Nc3cccc(Cl)c3Cl)c(cnc2cc1N4CCN(C)CC4)C(=O)N	CHEMBL480617	pIC50=7.64
Nc1ccc(cc1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1172530	pIC50=7.64
O=C(Nc1ccc(cc1C2=CCCCC2)c3nnn[nH]3)c4nc(c[nH]4)C#N	CHEMBL3086169	pIC50=7.64
CC(C)Nc1c(nnc2cc(ccc12)N3CCOCC3)C(=O)N	CHEMBL2333120	pIC50=7.66
COc1cc(ccc1O)c2cncc(NC(C)c3cccc(NC(=O)c4cccnc4)c3)n2	CHEMBL473487	pIC50=7.66
COc1cc2ncc(C(=O)N)c(Nc3cc(Cl)cc(Cl)c3)c2cc1OC	CHEMBL479267	pIC50=7.66
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN4CCCCC4	CHEMBL518760	pIC50=7.66
