COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pKd=8.31	pKd=8.31	pKd=8.31	pKd=8.31
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@H](CC3)NC(=O)[C@@H](N)C(C)(C)C)c4cc(F)c(O)c(Cl)c4	CHEMBL3684268	pIC50=7.55
CN(C)C1CCN(C1)c2ccc(Nc3c(cnc4ccc(nc34)c5cc(F)c(O)c(Cl)c5)C(=O)C)cn2	CHEMBL3688384	pIC50=7.57
CN(C)[C@@H]1CC[C@H](CC1)Nc2c(cnc3cc(F)c(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674204	pIC50=7.57
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C(C)C)c(Nc4ccc(CN(C)C)cc4)c3c2	CHEMBL3679266	pIC50=7.57
CN(C)CCc1cccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(F)c4)C(=O)C5CC5)c1	CHEMBL3684159	pIC50=7.59
COc1cc(ccc1O)c2ccc3ncc(C(=O)C4CC4)c(NC5CCN(C)CC5)c3c2	CHEMBL3674165	pIC50=7.59
C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35	CHEMBL603469	pKd=7.59
CN1CCN(CC1)C(=O)CNc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674245	pIC50=7.6
CN1CCN(CC1)c2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3679173	pIC50=7.6
CN1CCN(CC1)c2ccc(cc2)n3cc(cn3)c4ccncc4OCc5ccncc5	CHEMBL3824157	pIC50=7.6
OC1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679295	pIC50=7.6
COC1CCN(C[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)C1	CHEMBL3679254	pIC50=7.62
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(NC6CCNC6)nc5)c3c2	CHEMBL3679290	pIC50=7.62
CC(C)C(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](N)CC3)c4ccc(O)c(Cl)c4	CHEMBL3674179	pIC50=7.64
CN1CCN(CC1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3674323	pIC50=7.64
N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(F)c4)C(=O)C5CC5	CHEMBL3639730	pIC50=7.64
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C(C)(C)C	CHEMBL3684272	pIC50=7.66
CN1CCCC1c2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)nc2	CHEMBL3674296	pIC50=7.66
CC(=O)c1cnc2ccc(cc2c1Nc3cc(CCN4CCCC4)cnc3C)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3684252	pIC50=7.68
CCN(CC)C1CCC(CC1)Nc2c(cnc3ccc(cc23)c4ccc(O)c(Cl)c4)C(=O)C	CHEMBL3674222	pIC50=7.68
CN1CCC(CNc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)CC1	CHEMBL3674197	pIC50=7.68
CN1CCN(CC1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(F)c5)C(=O)C6CC6)cn2	CHEMBL3684141	pIC50=7.68
COc1cc(cc(Cl)c1O)c2cc3c(Nc4ccc(nc4)N5CCNCC5)c(cnc3cc2F)C(=O)C6CC6	CHEMBL3639780	pIC50=7.68
N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4ccc(O)cc4)C(=O)C5CC5	CHEMBL3674154	pIC50=7.68
CC(C)C(=O)c1cnc2ccc(cc2c1N3CCC(CN4CCCC4)CC3)c5ccc(O)c(Cl)c5	CHEMBL3674214	pIC50=7.7
CCC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@H](CC3)N(C)C)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3679371	pIC50=7.7
CCCC(=O)c1cnc2ccc(cc2c1Nc3ccc(CN(C)C)cc3)c4cc(Cl)c(O)c(OC)c4	CHEMBL3679177	pIC50=7.7
CN(C)Cc1ccc(Nc2c(cnc3cc(F)c(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)cc1	CHEMBL3679185	pIC50=7.7
CNc1cc2ccc(cc2cn1)C#CCOc3ccc(CN4CCNCC4)c(c3)C(F)(F)F	CHEMBL3355065	pIC50=7.7
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN6CCOCC6)cc5)c3c2	CHEMBL3674314	pIC50=7.7
CC(=O)c1cnc2cc(F)c(cc2c1N[C@@H]3CC[C@@H](CN4CCCC4)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3684279	pIC50=7.72
CC(=O)c1cnc2ccc(cc2c1Nc3ccc(cc3)C(=O)N)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3679183	pIC50=7.72
CCN(CC)C1CCC(CC1)Nc2c(cnc3ccc(cc23)c4ccc(O)c(Cl)c4)C(=O)C5CCCC5	CHEMBL3674240	pIC50=7.72
CN(C)CCOc1ccc(Nc2c(cnc3ccc(nc23)c4cc(F)c(O)c(Cl)c4)S(=O)(=O)C)cn1	CHEMBL3688358	pIC50=7.72
CN1CCN(CCc2cccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C)c2)CC1	CHEMBL3684187	pIC50=7.72
CN1CCN(Cc2ccc(Nc3c(cnc4ccc(cc34)c5ccc(O)c(Cl)c5)C(=O)C6CC6)cc2)CC1	CHEMBL3674260	pIC50=7.72
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN(C)C)cn5)c3c2	CHEMBL3674280	pIC50=7.72
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(Cn6ccnc6)cc5)c3c2	CHEMBL3674339	pIC50=7.72
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5cncc(CCN6CCCC6)c5)c3c2	CHEMBL3684237	pIC50=7.72
CN(C)C1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C)cn2	CHEMBL3684210	pIC50=7.75
CN1CCN(CC1)C(=O)C2CCC(CC2)Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C	CHEMBL3684206	pIC50=7.75
CN1CCN(Cc2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)cn2)CC1	CHEMBL3679306	pIC50=7.75
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4ccc(cc4)C(=O)N)c3c2	CHEMBL3679182	pIC50=7.75
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(c5ccc(cc5)N6CCN(C)CC6)c3c2	CHEMBL3674289	pIC50=7.75
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CCCC4)c(Nc5cccc(CCN6CCCC6)c5)c3c2	CHEMBL3684278	pIC50=7.75
N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4ccc5[nH]cnc5c4)C(=O)C6CC6	CHEMBL3674158	pIC50=7.75
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(c5ccc(NCCN6CCOCC6)nc5)c3c2	CHEMBL3674301	pIC50=7.75
CC(C)C(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](N)CC3)c4cc(F)c(O)c(F)c4	CHEMBL3674177	pIC50=7.77
CCCC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](N)CC3)c4cc(F)c(O)c(Cl)c4	CHEMBL3679171	pIC50=7.77
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3cc(F)c(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684259	pIC50=7.77
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4ccc5[nH]cnc5c4)C(=O)C	CHEMBL3688387	pIC50=7.77
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4cn[nH]c4)C(=O)C	CHEMBL3688374	pIC50=7.77
CN1CCC(CC1)n2cc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C(C)(C)C)cn2	CHEMBL3684284	pIC50=7.77
CN1CCN(CCc2cccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)c2)CC1	CHEMBL3684185	pIC50=7.77
COc1cc(ccc1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN6CCN(C)CC6)cc5)c3c2	CHEMBL3674259	pIC50=7.77
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5cnn(c5)C6CCNCC6)c3c2	CHEMBL3674358	pIC50=7.77
Oc1ccc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(NCCN5CCNCC5)c3c2	CHEMBL3674178	pIC50=7.77
CC(=O)c1cnc2ccc(cc2c1Nc3cccc(CCN4CCCC4)c3)c5cc(F)c(O)c(Cl)c5	CHEMBL3684162	pIC50=7.8
CCCC(=O)c1cnc2ccc(cc2c1Nc3ccc(CN(C)C)cc3)c4cc(F)c(O)c(Cl)c4	CHEMBL3679176	pIC50=7.8
CN(C)CC1CCN(CC1)c2c(cnc3ccc(cc23)c4ccc(O)c(Cl)c4)[S+](C)[O-]	CHEMBL3674317	pIC50=7.8
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4ccncc4)C(=O)C	CHEMBL3692782	pIC50=7.8
CN(C)Cc1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)S(=O)(=O)C)cc1	CHEMBL3674254	pIC50=7.8
CN1CCCC1C(=O)N[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C	CHEMBL3684229	pIC50=7.8
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(N[C@@H]4CC[C@@H](CN5CCCC(N)C5)CC4)c3c2	CHEMBL3684168	pIC50=7.8
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4ccc(nc4)N5CCN(C)CC5)c3c2	CHEMBL3674334	pIC50=7.8
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN6CCN(C)CC6)nc5)c3c2	CHEMBL3679307	pIC50=7.8
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](CN6CC[C@@H](F)C6)CC5)c3c2	CHEMBL3679205	pIC50=7.8
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](N)CC3)c4cc(F)c(O)c(Cl)c4	CHEMBL3679167	pIC50=7.82
CC(=O)c1cnc2ccc(nc2c1N[C@@H]3CC[C@@H](O)CC3)c4cc(F)c(O)c(Cl)c4	CHEMBL3692817	pIC50=7.82
CC(N)C(=O)N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C(C)(C)C	CHEMBL3684282	pIC50=7.82
CCC(=O)c1cnc2ccc(cc2c1Nc3ccc(CN(C)C)cc3)c4cc(F)c(O)c(Cl)c4	CHEMBL3684134	pIC50=7.82
CN(C)CCOc1ccc(Nc2c(cnc3ccc(nc23)c4cc(F)c(O)c(Cl)c4)C(=O)C)cn1	CHEMBL3688355	pIC50=7.82
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(nc5)N6CCN(C)CC6)c3c2	CHEMBL3674321	pIC50=7.82
