NNCCC1=CC=CC=C1	phenelzine	pIC50=7.7	pIC50=7.7	pIC50=7.7	pIC50=7.7
CC(=O)Nc1nc(CCc2ccc(NC=N)cc2)cs1	CHEMBL2326865	pIC50=6.14
CCNC(=N)Nc1ccc(CCc2csc(NC(=O)C)n2)cc1	CHEMBL2326861	pIC50=6.17
COC(CN(C)N)c1ccc(OC)c(OC)c1OC	CHEMBL1241376	pIC50=6.2
COC(CN(C)N)c1ccc(F)cc1	CHEMBL1241292	pIC50=6.24
CN(N)C(C)(C)C(O)c1ccccc1	CHEMBL1241290	pIC50=6.25
CC(C)C(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1	CHEMBL2326870	pIC50=6.28
CC(CN(C)N)c1ccccc1	CHEMBL1241429	pIC50=6.33
CC(C)CN(N)CCc1ccccc1	CHEMBL1241067	pIC50=6.36
COC(CN(C)N)c1cccc(F)c1	CHEMBL1241291	pIC50=6.36
Cl.Cl.CNc1cncc(N(C)C)c1CN	CHEMBL534467	pIC50=6.36
CN(N)CC(O)c1ccc2ccccc2c1	CHEMBL1241260	pIC50=6.37
COC(CN(C)N)c1ccc(Cl)cc1	CHEMBL1241329	pIC50=6.37
COC(CN(C)N)c1ccc(OC)cc1	CHEMBL1241332	pIC50=6.38
COC(CN(C)N)c1cccc(Cl)c1	CHEMBL1241293	pIC50=6.39
COC(CN(C)N)c1cccc(OC)c1	CHEMBL1241331	pIC50=6.39
COC(CN(C)N)c1cccc2ccccc12	CHEMBL1241377	pIC50=6.4
COc1ccc(cc1)C(CN(C)N)OCc2ccccc2	CHEMBL1243019	pIC50=6.41
Cl.CC(=O)Nc1cc(c2ccc(cc2)S(=O)(=O)C)n(CCc3ccc(NC(=N)N)cc3)n1	CHEMBL2376168	pIC50=6.41
CN(C)C(=O)c1ccc(OC\C(=C/CN)\F)cc1	CHEMBL2029542	pIC50=6.43
COc1ccc(OC)c(CCN(C)N)c1	CHEMBL1240955	pIC50=6.43
CC(C)CN(N)CC(O)c1ccccc1	CHEMBL1241261	pIC50=6.46
COc1ccc(CCN(C)N)cc1OC	CHEMBL1240956	pIC50=6.46
COc1ccc(cc1)C(C)(O)CN(C)N	CHEMBL1241430	pIC50=6.46
COc1ccccc1CCN(C)N	CHEMBL1240911	pIC50=6.46
C[C@@H]([C@H](O)c1ccccc1)N(C)N	CHEMBL1241262	pIC50=6.46
CN(N)[C@@H]([C@@H](O)c1ccccc1)c2ccccc2	CHEMBL1766387	pIC50=6.48
COc1ccc(CCN(C)N)c(OC)c1OC	CHEMBL1240957	pIC50=6.48
Cl.CC(=O)Nc1nc(cs1)c2ccc(CCNC(=N)N)cc2	CHEMBL2326875	pIC50=6.48
CN(N)CC(O)c1ccc(F)cc1	CHEMBL1241165	pIC50=6.49
COC(CN(C)N)c1cccc(C)c1	CHEMBL1241330	pIC50=6.49
COc1cc(CCN(C)N)cc(OC)c1OC	CHEMBL1241002	pIC50=6.49
Cl.COC(=O)c1ccc(Cc2sc(NC(=O)C)nc2CCc3ccc(NC(=N)N)cc3)cc1	CHEMBL2376165	pIC50=6.5
CN(N)CC(O)c1ccc(Cl)cc1	CHEMBL1241122	pIC50=6.51
COc1ccc(cc1)C(O)CN(C)N	CHEMBL1241164	pIC50=6.51
CC(C)NC1=CC(=O)N(N=C1c2nc[nH]n2)c3ccccc3	CHEMBL3110304	pIC50=6.54
NC\C=C(\F)/COc1ccccc1	CHEMBL2029527	pIC50=6.54
CN(N)[C@H]([C@H](O)c1ccccc1)c2ccccc2	CHEMBL1766384	pIC50=6.55
COc1cccc(c1)C(O)CN(C)N	CHEMBL1241123	pIC50=6.55
CN(N)CC(O)c1ccccc1Cl	CHEMBL1241121	pIC50=6.57
CN(N)Cc1ccccc1	CHEMBL1241379	pIC50=6.57
CCC[C@@H]([C@H](O)c1ccccc1)N(C)N	CHEMBL1241289	pIC50=6.59
CC[C@@H]([C@H](O)c1ccccc1)N(C)N	CHEMBL1241263	pIC50=6.59
CN(Cc1ccccc1)C(=O)c2ccc(OC\C(=C/CN)\F)cc2	CHEMBL2029544	pIC50=6.59
COc1ccc(CCN(N)CC(C)C)cc1	CHEMBL1241068	pIC50=6.59
NC\C=C(\F)/COc1cccc(Cl)c1	CHEMBL2029533	pIC50=6.6
CN(N)CCCc1ccccc1	CHEMBL1241069	pIC50=6.62
NC\C=C(\F)/COc1ccc(Oc2ccccc2)cc1	CHEMBL2029532	pIC50=6.62
CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1	CHEMBL2326864	pIC50=6.64
COC(CN(C)N)c1ccc2ccccc2c1	CHEMBL1241378	pIC50=6.64
COc1ccc(C(O)CN(C)N)c(OC)c1OC	CHEMBL1241166	pIC50=6.66
CC(C)(C)c1ccc(OC\C(=C/CN)\F)cc1	CHEMBL2029535	pIC50=6.68
CN(N)CC(O)c1ccccc1	CHEMBL1241120	pIC50=6.68
Cl.CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)c(Cc3ccccc3)s1	CHEMBL2376163	pIC50=6.68
CN(N)CC(O)c1ccc2OCCOc2c1	CHEMBL1241167	pIC50=6.7
NC\C=C(\F)/COc1ccc(F)c(F)c1	CHEMBL2029538	pIC50=6.72
CCN(N)CCc1ccccc1	CHEMBL1241003	pIC50=6.74
NC\C=C(\F)/COc1ccc(OC(F)(F)F)cc1	CHEMBL2029536	pIC50=6.75
CN(N)CCc1ccccc1Cl	CHEMBL1240908	pIC50=6.77
Cl.Cl.CCOc1cncc(OCC)c1CN	CHEMBL537401	pIC50=6.77
O=C1C=C(NC2CCCCC2)C(=NN1c3ccccc3)c4nc[nH]n4	CHEMBL3110303	pKd=6.77
COc1ccc(OC\C(=C/CN)\F)cc1	CHEMBL2029531	pIC50=6.8
Cl.CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)c(CCc3ccc(cc3)S(=O)(=O)C)s1	CHEMBL2376164	pIC50=6.8
Cl.CN(C)S(=O)(=O)c1ccc(Cc2sc(NC(=O)C)nc2CCc3ccc(NC(=N)N)cc3)cc1	CHEMBL2376166	pIC50=6.82
Cl.Cl.NCc1c(OCCCCO)cncc1OCCCCO	CHEMBL536484	pIC50=6.82
NC\C=C(\F)/COc1cccc(c1)C(F)(F)F	CHEMBL2029540	pIC50=6.82
NNC[C@@H](O)c1ccccc1	CHEMBL1766381	pIC50=6.82
CN(Cc1cccc(c1)c2cnc(nc2)N3CCC(O)CC3)C(=O)CN	CHEMBL3644009	pIC50=6.85
NC\C=C(\F)/COc1ccc(cc1)C(=O)N2CCCC2	CHEMBL2029543	pIC50=6.85
Cl.Cl.CCSc1cncc(SCC)c1CN	CHEMBL538353	pIC50=6.89
CN(N)CCc1cccc(Cl)c1	CHEMBL1240909	pIC50=6.92
CN(N)CCc1ccc(F)cc1	CHEMBL1240879	pIC50=6.96
CN(N)CCc1ccccc1	CHEMBL1240877	pIC50=6.96
CC(C)C1N(CCc2nc[nH]c12)C(=O)OCC3CCOC3	CHEMBL3655079	pIC50=7.04
CN(N)CCc1ccccc1F	CHEMBL1240878	pIC50=7.04
CN(Cc1cccc(c1)c2cnc(nc2)N3CCN(CC3)c4ccc(nc4)C#N)C(=O)CN	CHEMBL3644017	pIC50=7.05
COc1cccc(CCN(C)N)c1	CHEMBL1240912	pIC50=7.05
C[C@@H]1CN(C[C@H](C)O1)c2ccc(cn2)c3cccc(CN(C)C(=O)CN)c3	CHEMBL3644008	pIC50=7.09
CCN(N)CCc1ccc(OC)cc1	CHEMBL1241004	pIC50=7.1
NC\C=C(\F)/COc1ccc(cc1)C(=O)NCc2ccccc2	CHEMBL2029547	pIC50=7.1
CN(Cc1cccc(c1)c2cnc(nc2)N3CCN(CC3)c4ncccc4Cl)C(=O)CN	CHEMBL3644013	pIC50=7.14
CN(N)CCc1ccc(Cl)cc1	CHEMBL1240910	pIC50=7.15
NC\C=C(\F)/COc1ccc(cc1)[N+](=O)[O-]	CHEMBL2029537	pIC50=7.16
CN(Cc1cccc(c1)c2cnc(nc2)N3CCOC(CO)C3)C(=O)CN	CHEMBL3644007	pIC50=7.18
NNCC(O)c1ccccc1	CHEMBL1241070	pIC50=7.19
COc1ccc(CCN(C)N)cc1	CHEMBL1240954	pIC50=7.22
C[C@@H]1CN(C[C@H](C)O1)c2ncc(cn2)c3cccc(CN(C)C(=O)CN)c3	CHEMBL3644006	pIC50=7.22
CC(CNN)c1ccccc1	CHEMBL1241428	pIC50=7.23
COc1cccc(c1)C(O)CNN	CHEMBL1241071	pIC50=7.28
Cl.CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)c(Cc3ccc(cc3)S(=O)(=O)N)s1	CHEMBL2375367	pIC50=7.28
CN(Cc1cccc(c1)c2cnc(nc2)N3CCCC3)C(=O)CN	CHEMBL3644005	pIC50=7.31
CN(Cc1cccc(c1)c2cnc(nc2)N3CC[C@H](F)C3)C(=O)CN	CHEMBL3643998	pIC50=7.31
CC(C)C1N(CCc2nc[nH]c12)C(=O)OCCOc3ccccc3	CHEMBL3655078	pIC50=7.32
CN(Cc1cccc(c1)c2cnc(nc2)N3CCC(CC3)N4CCOCC4)C(=O)CN	CHEMBL3644002	pIC50=7.32
