CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	aclatonium
CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O	pilocarpine	pEC50=6.96999979	pEC50=6.96999979	pEC50=6.96999979
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1	glycopyrronium bromide	pKi=9.64000034	pKi=9.64000034	pKi=9.64000034	pIC50=9.6	pIC50=9.6
OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2	umeclidinium	pKi=10.22184849	pKi=10.22184849	pKi=10.22184849
CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C	fesoterodine	pKi=6.2706	pKi=6.2706	pKi=6.2706
[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1	trospium
O.[Br-].C[N+]1(C)[C@@H]2C[C@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)C(O)(c4cccs4)c5cccs5	tiotropium bromide	pKi=11.1	pKi=11.1	pKi=11.1	pIC50=9.4	pKi=10.5
[Br-].CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3	ipratropium	pKi=9.2924	pKi=9.2924	pKi=9.2924	pIC50=8.68
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1	hyoscyamine	pKi=9.8	pKi=9.8	pKi=9.8
CC1OC2(CS1)CN1CCC2CC1	cevimeline	pEC50=7.3188	pEC50=7.3188	pEC50=7.3188
[Cl-].C[N+](C)(C)CCOC(=O)N	carbachol	pEC50=8.699	pEC50=8.699	pEC50=8.699	pEC50=7.16
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C	atropine	pKi=9.5	pKi=9.5	pKi=9.5	pKi=8.66
CC(=O)OCC[N+](C)(C)C	acetylcholine	pEC50=6.66	pEC50=6.66	pEC50=6.66
CC(C[N+](C)(C)C)OC(=O)C	methacholine
C[N+]1(C)CCC(CC1)=C(C1=CC=CC=C1)C1=CC=CC=C1	diphemanil
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C	octatropine methylbromide
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C	propantheline	pKi=10.0	pKi=10.0	pKi=10.0
C[N+]12CCC(CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	clidinium	pKi=9.60000038	pKi=9.60000038	pKi=9.60000038
C[N+]1(C)CCN(CC(O)(C2CCCCC2)C2=CC=CC=C2)CC1	hexocyclium	pKi=8.89999962	pKi=8.89999962	pKi=8.89999962
CC(C[N+](C)(C)C)OC(N)=O	bethanechol	pKi=4.19999981	pKi=4.19999981	pKi=4.19999981
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2	dicycloverine	pKi=9.03292027	pKi=9.03292027	pKi=9.03292027	pIC50=8.36
CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2	tropicamide	pKi=7.52287875	pKi=7.52287875	pKi=7.52287875	pKi=7.52
CN(C)CCOC(=O)C(C1=CC=CC=C1)C1(O)CCCC1	cyclopentolate
CC[N+](CC)(CC)CCC(O)(C1CCCCC1)C1=CC=CC=C1	tridihexethyl
CC(C)N(CC[C@H](c1ccccc1)c2cc(C)ccc2O)C(C)C	tolterodine	pKi=8.49	pKi=8.49	pKi=8.49	pKi=8.44
C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	mepenzolate	pKi=8.59	pKi=8.59	pKi=8.59
CN1CCCN=C1COC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	oxyphencyclimine
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	oxyphenonium
CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C	isopropamide
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2	oxybutynin	pKi=9.11	pKi=9.11	pKi=9.11	pIC50=8.57
O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1	solifenacin	pIC50=6.88	pIC50=6.88	pIC50=6.88
CC1=NC=CN1CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1	imidafenacin
NC(=O)C([C@@H]1CCN(CCC2=CC=C3OCCC3=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1	darifenacin	pKd=9.52	pKd=9.52	pKd=9.52
C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	methscopolamine	pKi=10.39999962	pKi=10.39999962	pKi=10.39999962	pIC50=8.96
[Br-].OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c4cccs4)c5cccs5	aclidinium bromide	pKi=10.15	pKi=10.15	pKi=10.15	pIC50=9.77
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	methanthelinium
C1CN2CCC1C(=C3c4ccccc4c5ccccc35)C2	CHEMBL273586	pKi=7.0
CCCc1[nH]c2ccc3OC4N(CCc5cc(SC)ccc45)Cc3c2c1C(=O)OCC	CHEMBL104693	pKi=7.0
CCN1CCC(=C(C1)C(=O)OCCc2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL262198	pIC50=7.0
CCc1c(NC2CC2)nc(nc1N3CCSCC3)C4CC4	CHEMBL206826	pKi=7.0
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	clozapine	pKi=7.0
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24	olanzapine	pKi=7.0
CNCCCC12CCC(c3ccccc13)c4ccccc24	maprotiline	pKi=7.0
COC(=O)C1=CCCN(C)C1	CHEMBL7303	pEC50=7.0
CO[C@@]1(CN2CCC1CC2)C#CC(O)(c3ccc(C)cc3)c4ccc(C)cc4	CHEMBL200209	pKi=7.0
CO[C@@]1(CN2CCC1CC2)C#CC(O)C3c4ccccc4C=Cc5ccccc35	CHEMBL200566	pKi=7.0
Cc1c(NC2CC2)nc(nc1N3CCC(CC3)C(F)(F)F)C4CC4	CHEMBL380926	pKi=7.0
Cc1c(NC2CC2)nc(nc1N3CCCC3)C4CC4	CHEMBL427390	pKi=7.0
Cc1cccc(CN2CCC3(CC2)CCN(CC3)C(=O)c4ccccc4)c1	CHEMBL1290184	pIC50=7.0
Clc1cccc(CN2CCC3(CC2)CCN(CC3)C(=O)c4ccccc4)c1	CHEMBL1290183	pIC50=7.0
NCC1CCC(CC1)NC(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL71799	pKi=7.0
O=C(CC(c1ccccc1)(c2ccccc2)c3ccccc3)N4CCC[C@H]4C(=O)N5CCC[C@@H]5C(=O)NC[C@H]6CCCNC6	CHEMBL275914	pKi=7.0
O=C(C[N+]12CCC(CC1)[C@H](C2)OC(=O)C3(CCCCCC3)C4=CC=CC4)N5CCOCC5	CHEMBL3087239	pIC50=7.0
O=C(N(C1CCN(Cc2ccccc2)CC1)c3ccccc3)c4occc4	CHEMBL310016	pKi=7.0
O=C1NC(CN1C2CCN(CC2)c3ccccc3)(c4ccccc4)c5ccccc5	CHEMBL434929	pKi=7.0
OC(C1CCCC1)(C(=O)NC2CCN(Cc3cccnc3)CC2)c4ccccc4	CHEMBL148328	pKi=7.0
OCc1oc(cc1)C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2	CHEMBL1289201	pIC50=7.0
COc1ccccc1CN2CCC(CC2)C3CCN(CC3)C(=O)CCCCCCC(=O)N4CCC(CC4)C5CCN(Cc6ccccc6OC)CC5	CHEMBL130835	pKi=7.01
NCCCCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3	CHEMBL1683923	pKi=7.01
CC(C1=C(CCN(C)C)Cc2cc(Cl)ccc12)c3ccccn3	CHEMBL167223	pKi=7.02
CN(C)CCOC(c1ccccc1)c2ccccc2.CN3C(=O)N(C)c4nc(Cl)[nH]c4C3=O	dimenhydrinate	pKi=7.02
CN1CCCC1c2oc(cc2)C(O)(c3ccccc3)c4ccccc4	CHEMBL576663	pKi=7.02
Clc1ccc2C(=C3CCNCC3)c4ncccc4CCc2c1	desloratadine	pKi=7.02
CN1CCC=C(C1)c2nsnc2OCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354066	pKi=7.03
C[C@H]1CCC[C@H](\C=C\[C@@H]2[C@H]3CCCC[C@@H]3C[C@H]4[C@@H]2[C@H](C)OC4=O)N1C	CHEMBL277642	pKi=7.03
NCc1cccc(NC(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3)c1	CHEMBL302145	pKi=7.03
O=C(O[C@H]1CN2CCC1CC2)C3c4ccccc4CCc5ccccc35	CHEMBL551525	pIC50=7.03
OC(C1CCCC1)(C(=O)NC2CCN(CC3CCCCCCC3)CC2)c4ccccc4	CHEMBL146291	pKi=7.03
CCOC(=O)c1c(CC)[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12	CHEMBL105148	pKi=7.04
CCN1CCC(=C(C1)C(=O)OCCc2ccc(C)cc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL120119	pIC50=7.05
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1	thioridazine	pIC50=7.05
Clc1ccc2Nc3ccccc3C(=Nc2c1)N4CCNCC4	CHEMBL845	pKi=7.05
O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)NCCC2CCNCC2)c3ccccc3	CHEMBL67873	pKi=7.05
CCCCCCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2.OC(=O)C(=O)O	CHEMBL120080	pIC50=7.06
CCN1CCC(=C(C1)C(=O)OCCc2ccc(C)cc2)c3ccccc3	CHEMBL1180285	pIC50=7.06
CN(C)CCCN1c2ccccc2Sc3ccccc13	promazine	pKi=7.06
CN1CCCC1c2oc(cc2)C(c3ccccc3)c4ccccc4	CHEMBL571123	pKi=7.07
COc1ccccc1CN2CCC(CC2)N3CC(NC3=O)(c4ccccc4)c5ccccc5	CHEMBL388541	pKi=7.08
NCCCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3	CHEMBL1683922	pKi=7.08
