O=C(N1CCCCC1)N2c3ccccc3C=Cc4ccccc24	CHEMBL3103371	pIC50=5.1
CC(C)N(C(C)C)C(=O)N1c2ccccc2C=Cc3ccccc13	CHEMBL3103385	pIC50=5.14
FC(F)(F)c1ccc(cn1)[C@H](Nc2ncnc3CCN(Cc23)c4ccc(Cl)cn4)C5CC5	CHEMBL3643337	pIC50=5.45
Cc1nc(c2cccc(Oc3ccccc3)c2)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091621	pIC50=5.48
Cc1nc(Cc2ccccc2Oc3ccccc3)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091623	pIC50=5.53
Cc1nc(Cc2cccc3ccccc23)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091617	pIC50=5.9
Cc1nc(Cc2ccc(Oc3ccccc3)cc2)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091622	pIC50=5.98
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3onc(C)c3)c4ccccc4OCCO	CHEMBL3674861	pIC50=6.0
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cscc4C	CHEMBL3669832	pIC50=6.0
[Na+].[Na+].[O-]S(=O)(=O)c1cc(ccc1\C=C\c2ccc(cc2S(=O)(=O)[O-])N=C=S)N=C=S	CHEMBL133930	pIC50=6.0
CCOC(=O)C(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4OC	CHEMBL3679736	pIC50=6.01
COc1ccc(cc1)c2n[nH]c3C(=O)N(CCc4occc4)C(c5ccccc5OC)c23	CHEMBL3684627	pIC50=6.01
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5onc(NC(=O)C)c5	CHEMBL3684566	pIC50=6.01
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4coc(C)n4	CHEMBL3674902	pIC50=6.02
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)C(C)C	CHEMBL3669720	pIC50=6.02
COCCOc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669786	pIC50=6.03
COc1ccc2sc(nc2c1)N3C(C(C(=O)C(C)(C)C)C(=O)C3=O)c4ccccc4OC	CHEMBL3669721	pIC50=6.03
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5onc(C)n5	CHEMBL3684602	pIC50=6.03
Cc1nc(NC(=O)c2cccc(Oc3ccccc3)c2)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091627	pIC50=6.03
Cc1nc(\C=C\c2ccccc2)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091606	pIC50=6.04
COc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4onc(C)c4	CHEMBL3674855	pIC50=6.05
COc1ccccc1C2N(Cc3n[nH]c(C(C)C)c23)C(=O)Nc4ccc(cc4)c5ccsc5	CHEMBL3684597	pIC50=6.05
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(Br)cn4	CHEMBL3684645	pIC50=6.06
CC(C)c1[nH]nc2C(=O)N(C(c3cccnc3OCCO)c12)c4ccc(cc4)c5noc(C)n5	CHEMBL3679897	pIC50=6.07
COc1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(c(NC(=O)C)c4)c5ccsc5	CHEMBL3684636	pIC50=6.07
Cc1nc(Cc2cccc3ccccc23)c4C(=O)OC(O)c4c1O	CHEMBL3091634	pIC50=6.07
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3CO)c12)c4ccc(cc4)c5ccon5	CHEMBL3684542	pIC50=6.08
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4CCC(=O)N	CHEMBL3679850	pIC50=6.08
Cc1nc(CC(c2ccccc2)c3ccccc3)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091618	pIC50=6.08
CNC(=O)CCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3679851	pIC50=6.09
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(c(CO)c3)c4ccsc4	CHEMBL3674767	pIC50=6.09
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5cccn5C	CHEMBL3684612	pIC50=6.09
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(Br)cc4	CHEMBL3684615	pIC50=6.09
Cc1nc(CCc2ccccc2)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091605	pIC50=6.1
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OCC(=O)O	CHEMBL3669782	pIC50=6.11
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4N5CCCC5=O	CHEMBL3679853	pIC50=6.11
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(C)cc4	CHEMBL3684603	pIC50=6.11
COc1ccc(cc1)N2C(c3ccccc3OC)c4c(n[nH]c4C(C)(C)C)C2=O	CHEMBL3679942	pIC50=6.12
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)C(F)(F)F	CHEMBL3669726	pIC50=6.12
