CCNc1nc(nc2c1ncn2c3cc(F)cc(F)c3)C#N	CHEMBL567134	pIC50=6.19
C[C@@H](CC1CCCCC1)OC(=O)C2CCCN2C#N	CHEMBL180839	pIC50=6.24
CCCC[C@H](NC(=O)O[C@@H](C)Cc1ccccc1)\C=N\NC(=O)N2CCOCC2	CHEMBL204605	pIC50=6.64
CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N	CHEMBL374508	pIC50=6.72
CCCC[C@H](NC(=O)O[C@H](Cc1ccccc1)C(C)C)\C=N\NC(=O)N2CCOCC2	CHEMBL203663	pIC50=6.72
CC(=O)C1=C(Nc2ccc(Cl)cc2)Nc3c(Cl)cc(cc3C1=O)[N+](=O)[O-]	CHEMBL492175	pIC50=6.84
CCC[C@H](N)C(=O)N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)c2ccccc2	CHEMBL514348	pKi=6.86
CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(nc12)C#N	CHEMBL567341	pIC50=6.9
COc1ccc(CCNCC(N)P(=O)(O)CC(Cc2ccccc2)C(=O)O)cc1	CHEMBL3805495	pKi=7.11
CCCC[C@H](NC(=O)O[C@@H](C)Cc1ccccc1)C=O	CHEMBL114161	pIC50=7.4
C[C@@H](CC1CCCCC1)OC(=O)C2CCN2C#N	CHEMBL183812	pIC50=7.4
CCCC[C@H](NC(=O)O[C@H](Cc1ccccc1)C(C)C)C=O	CHEMBL113948	pIC50=7.75
C[C@@H](CC1CCCCC1)OC(=O)NN(C)C#N	CHEMBL190121	pKi=8.85
CC(C)N(NC(=O)O[C@@H](C)CC1CCCCC1)C#N	CHEMBL371420	pKi=9.34
