O=S(=O)(N1CCCNCC1)C1=CC=CC2=C1C=CN=C2	fasudil	pKi=7.0	pKi=7.0	pKi=7.0
[H][C@]1(C)CNCCCN1S(=O)(=O)C1=CC=CC2=C1C(F)=CN=C2	ripasudil	pIC50=7.29242992	pIC50=7.29242992	pIC50=7.29242992
Oc1cccc(CC(=O)Nc2nc(cs2)c3ccncc3)c1	CHEMBL3581123	pKi=7.55
COc1cccc(CN(C)C(=O)c2cc3ccc(nc3[nH]2)c4cn[nH]c4)c1	CHEMBL1922042	pIC50=7.57
COc1cccc(CNC(=O)Nc2nc(cs2)c3ccncc3)c1	CHEMBL3218006	pIC50=7.57
COc1ccc(cc1)C2=NC(C(=C(C)N2)C(=O)Nc3ccc4[nH]ncc4c3)c5ccc(cc5F)C(F)(F)F	CHEMBL520808	pIC50=7.59
CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(cs2)c3ccncc3)c1	CHEMBL3581128	pKi=7.59
C[C@@H]1CN(CCN1)c2nc(NC3Cc4ccccc4C3)nc(Nc5ccncc5)n2	CHEMBL575940	pIC50=7.59
C[C@@H](N)[C@@H]1CC[C@H](CC1)C(=O)Nc2ccncc2	CHEMBL559147	pKi=7.6
C1CN(CCN1)c2nc(NC3CCc4ccccc4C3)nc(Nc5ccncc5)n2	CHEMBL575759	pIC50=7.64
CC1=C(C(NC(=O)N1)c2ccc(F)c(c2)C(=O)NCCc3ccccn3)C(=O)Nc4ccc5[nH]ncc5c4	CHEMBL3810107	pIC50=7.64
COc1ccccc1CNC(=O)c2c[nH]c3cc(ccc23)c4cn[nH]c4	CHEMBL1923169	pIC50=7.64
COc1cccc(CC(=O)Nc2cc(cs2)c3ccnc(N)c3)c1	CHEMBL3581149	pKi=7.66
NCc1ccc(cc1)C(=O)NC(C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4)c5ccc(Cl)cc5	CHEMBL2333884	pIC50=7.66
CC(C)(N)CNc1nc(cc2cnccc12)c3ccncc3	CHEMBL2147538	pIC50=7.68
CC1=C(C(NC(=O)N1)c2ccc(F)c(c2)C(=O)NCc3cccc(F)c3)C(=O)Nc4ccc5[nH]ncc5c4	CHEMBL3809100	pIC50=7.68
COc1cccc(CNC(=O)c2cn(c3ccccc3)c4cc(ccc24)c5cn[nH]c5)c1	CHEMBL1922125	pIC50=7.68
CCCC(N)c1ccc2sc(c(C)c2c1)c3ccnc(N)n3	CHEMBL1083967	pIC50=7.7
CCn1c(nc2c(ncc(OCCCN)c12)C#CCO)c3nonc3N	CHEMBL523523	pIC50=7.7
CCn1c(nc2cncc(C(=O)N3CCNCC3)c12)c4nonc4N	CHEMBL493066	pIC50=7.7
COc1cccc(c1)C(N)c2ccc3sc(c(C)c3c2)c4ccnc(N)n4	CHEMBL1083073	pIC50=7.7
Cc1c(sc2ccc(Cc3cccc(O)c3)cc12)c4ccnc(N)n4	CHEMBL1082758	pIC50=7.7
Cc1c(sc2ccc(Nc3cccc(O)c3)cc12)c4ccnc(N)n4	CHEMBL1083072	pIC50=7.7
Cc1c(sc2ccc(cc12)C(N)c3ccccc3)c4ccnc(N)n4	CHEMBL1083352	pIC50=7.7
NCCNS(=O)(=O)c1ccc(cc1)c2ccnc3[nH]ccc23	CHEMBL473080	pIC50=7.7
CCn1c(nc2cnccc12)c3nonc3N	CHEMBL189657	pIC50=7.72
CN(C)C(C(=O)Nc1cc2C=CNC(=O)c2cc1Cl)c3ccccc3	CHEMBL1084107	pIC50=7.72
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pIC50=7.72
COc1cccc(CN(C)C(=O)c2c[nH]c3cc(ccc23)c4cn[nH]c4)c1	CHEMBL1922046	pIC50=7.72
COc1cccc(CNC(=O)c2cc3ccc(cc3[nH]2)c4cn[nH]c4)c1	CHEMBL1922026	pIC50=7.72
COc1cccc(CNC(=O)c2cc3ccc(nc3[nH]2)c4cn[nH]c4C)c1	CHEMBL1923165	pIC50=7.72
CCn1c(nc2cnc(Oc3cccc(N)c3)cc12)c4nonc4N	CHEMBL373419	pIC50=7.75
COc1cccc(CC(=O)Nc2cc(cs2)c3ccnc(F)c3)c1	CHEMBL3581146	pKi=7.75
O=C(NCCc1cccs1)c2c[nH]c3cc(ccc23)c4cn[nH]c4	CHEMBL1923177	pIC50=7.75
C1CNCCN(C1)c2nc(NC3Cc4ccccc4C3)nc(Nc5ccncc5)n2	CHEMBL566298	pIC50=7.77
COc1cccc(c1)C2CCCN(C2=O)c3nc(cs3)c4ccncc4	CHEMBL3581129	pKi=7.77
N[C@@H](Cc1ccc(F)cc1)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2333905	pIC50=7.77
CCN1Cc2ccccc2C[C@@H]1C(=O)Nc3cc(F)c(cc3OCCN(C)C)c4cn[nH]c4	CHEMBL1215526	pIC50=7.8
COc1ccc(C[C@H](N)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4)cc1	CHEMBL2333909	pIC50=7.8
CC1=C(C(N=C(N1)c2ccnc(Cl)c2)c3ccc(Cl)cc3F)C(=O)Nc4ccc5[nH]nc(C)c5c4	CHEMBL485611	pIC50=7.82
NC(C1=Nc2ccc(cc2C(=O)N1)c3cn[nH]c3)c4cccc(Cl)c4	CHEMBL2333894	pIC50=7.82
C1CN(CCN1)c2cc(NC3Cc4ccccc4C3)nc(Nc5ccncc5)n2	CHEMBL578643	pIC50=7.85
CC1=C(C(CC(=O)N1)c2ccc(cc2)C(F)(F)F)C(=O)Nc3cc4cn[nH]c4cc3F	CHEMBL375312	pIC50=7.85
CC1=C(C(NC(=O)N1)c2ccc(F)cc2)C(=O)Nc3ccc4[nH]ncc4c3	CHEMBL384073	pIC50=7.85
CCn1c(nc2cncc(C(=O)N3CC[C@H](N)C3)c12)c4nonc4N	CHEMBL1956071	pIC50=7.85
CNC(C(=O)Nc1cc2C=CNC(=O)c2cc1Cl)c3ccccc3	CHEMBL1084892	pIC50=7.85
COc1cccc(CN(CCN2CCCCC2)C(=O)Nc3ccc(cc3)c4cn[nH]c4)c1	CHEMBL2332073	pIC50=7.85
CCn1c(nc2cnc(Oc3cccc(c3)C(=O)C)cc12)c4nonc4N	CHEMBL387338	pIC50=7.89
COc1ccc(cc1)[C@@H]2CN(C)C[C@H]2C3=Nc4ccc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL2333887	pIC50=7.89
COc1cccc(CN(CCCN(C)C)C(=O)c2cn(C)c3cc(ccc23)c4cn[nH]c4)c1	CHEMBL1922126	pIC50=7.89
COc1cccc(CN(CCN2CCCC2)C(=O)Nc3ccc(cc3)c4cn[nH]c4)c1	CHEMBL2332069	pIC50=7.89
O=C(Nc1nc(cs1)c2ccncc2)C3COc4ccccc4O3	CHEMBL510515	pIC50=7.89
C1CN(CCN1)c2nc(NC3Cc4ccccc4C3)cc(Nc5ccncc5)n2	CHEMBL575340	pIC50=7.92
CC(C)(N)CNc1nc(nc2cnccc12)c3ccncc3	CHEMBL3338837	pIC50=7.92
CC1=C(C(NC(=O)N1)c2ccc(F)c(c2)C(=O)NCc3nccc4ccccc34)C(=O)Nc5ccc6[nH]ncc6c5	CHEMBL3809796	pIC50=7.92
COc1cccc(CNC(=O)c2cc3ccc(nc3[nH]2)c4cn[nH]c4)c1	CHEMBL1922034	pIC50=7.92
CC1=C(C(NC(=O)N1)c2ccc(F)c(c2)C(=O)NCc3ccccn3)C(=O)Nc4ccc5[nH]ncc5c4	CHEMBL3808660	pIC50=7.96
CCOc1cc(ccn1)C2=NC(C(=C(C)N2)C(=O)Nc3cc4cn[nH]c4cc3F)c5ccc(Cl)cc5F	CHEMBL521144	pIC50=7.96
