Cn1nc(C(=O)N)c2CCc3cnc(Nc4ccccc4F)nc3c12	CHEMBL1095771	pIC50=7.57
CC[C@H]1N(C(C)C)c2nc(ncc2N(C)C1=O)n3ccnc3c4ccccc4	CHEMBL2401965	pIC50=7.6
COc1ccccc1Nc2ncc3CCc4c(nn(C)c4c3n2)C(=O)N	CHEMBL1094135	pIC50=7.62
CC[C@H]1N([C@@H]2CCOC2)c3nc(ncc3N(C)C1=O)n4ccnc4c5ccccc5	CHEMBL2401972	pIC50=7.68
CC[C@H]1N(c2cnn(C)c2)c3nc(ncc3N(C)C1=O)n4ccnc4c5ccc(F)cc5	CHEMBL2402080	pIC50=7.68
C[C@@H](Oc1cc(sc1C(=O)N)c2cnc3ccccn23)c4ccc(CNC(C)(C)C)cc4OC(F)F	CHEMBL551079	pIC50=7.68
CCC1N(c2ccccc2)c3nc(ncc3N(C)C1=O)n4ccnc4c5ccccc5	CHEMBL2401974	pIC50=7.77
CCC1N(c2ccc(F)cc2)c3nc(ncc3N(C)C1=O)n4ccnc4c5ccc(F)cc5	CHEMBL2401975	pIC50=7.82
CSc1ccccc1Nc2ncc3CCc4c(nn(C)c4c3n2)C(=O)N	CHEMBL1094478	pIC50=7.85
CCC1N(C2CCC(F)(F)C2)c3nc(ncc3N(C)C1=O)n4ccnc4c5ccc(F)cc5	CHEMBL2401968	pIC50=7.89
CC[C@H]1N(C2CC(F)(F)C2)c3nc(ncc3N(C)C1=O)n4ccnc4c5ccc(F)cc5	CHEMBL2401969	pIC50=7.92
CC[C@H]1N(c2cn[nH]c2)c3nc(ncc3N(C)C1=O)n4ccnc4c5ccc(F)cc5	CHEMBL2402078	pIC50=7.92
CNc1ccccc1Nc2ncc3CCc4c(nn(C)c4c3n2)C(=O)N	CHEMBL1095457	pIC50=7.92
Cn1nc(C(=O)N)c2CCc3cnc(Nc4ccccc4N)nc3c12	CHEMBL1097022	pIC50=7.92
CCC1N(c2cc[nH]n2)c3nc(ncc3N(C)C1=O)n4ccnc4c5ccc(F)cc5	CHEMBL2402079	pIC50=8.05
CC[C@H]1N(CCC(F)(F)F)c2nc(ncc2N(C)C1=O)n3ccnc3c4ccccc4	CHEMBL2401966	pIC50=8.05
Cn1nc(C(=O)N)c2CCc3cnc(Nc4ccccc4)nc3c12	CHEMBL559845	pIC50=8.05
CC[C@H]1N([C@H]2CCOC2)c3nc(ncc3N(C)C1=O)n4ccnc4c5ccccc5	CHEMBL2401971	pIC50=8.1
CC[C@H]1N(c2ccn(C)n2)c3nc(ncc3N(C)C1=O)n4ccnc4c5ccc(F)cc5	CHEMBL2402081	pIC50=8.16
CC[C@H]1N(C2CCCC2)c3nc(ncc3N(C)C1=O)n4ccnc4c5ccccc5	CHEMBL2401963	pIC50=8.3
C[C@H](Nc1cc2c(noc2cn1)c3ccc4OCOc4c3)c5ccccc5	CHEMBL522618	pIC50=8.4
CC(C)(C)NC1=C(Nc2ccnc(Nc3ccc(cc3)c4ccncc4)n2)C(=O)C1=O	CHEMBL2205426	pKi=8.7
Cc1ccccc1Nc2ncc3CCc4c(nn(C)c4c3n2)C(=O)N	CHEMBL1094477	pIC50=8.7
CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O	CHEMBL513909	pKd=9.09
