CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O	orlistat	pIC50=8.0	pIC50=8.0	pIC50=8.0	pIC50=6.0
O=C(CCCCCCc1ccccc1)c2onc(n2)c3occc3	CHEMBL469199	pIC50=6.03
[O-][N+](=O)c1ccc2oc(nc2c1)C(=O)CCCCCc3ccccc3	CHEMBL3753795	pIC50=6.05
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)CNC(=O)C	CHEMBL458828	pIC50=6.1
Fc1ccc2nc(oc2c1)C(=O)CCCCCc3ccccc3	CHEMBL3753292	pIC50=6.15
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)Cc3ccc(Oc4ccccc4)cc3	CHEMBL3319620	pKi=6.16
OC(=O)CN(Cc1ccc(Oc2ccccc2)cc1)S(=O)(=O)c3c(Cl)cccc3Cl	CHEMBL3319626	pIC50=6.16
CCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL257305	pIC50=6.2
COC(=O)c1coc(n1)C(=O)CCCCCCc2ccccc2	CHEMBL461539	pIC50=6.2
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)CCNC=O	CHEMBL514886	pIC50=6.22
CN(C)C(=O)n1nnc(CCc2ccccc2)n1	CHEMBL504374	pIC50=6.22
CN(C)C(=O)n1nnnc1CNC(=O)CCCCCCCc2ccccc2	CHEMBL486039	pIC50=6.24
O=C(CCCCCCc1ccccc1)c2occ(n2)C#N	CHEMBL462423	pIC50=6.24
C=CCCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL3754151	pIC50=6.26
O=C(CCCCCCc1ccccc1)c2oc3cccnc3n2	CHEMBL367966	pIC50=6.28
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CCN)Cc3ccc(Oc4ccccc4)cc3	CHEMBL3319637	pIC50=6.29
CN(C)C(=O)n1nnc(Cc2ccc(cc2)c3ccccc3)n1	CHEMBL485841	pIC50=6.29
OC(=O)CN(C1(CCC1)c2cccc(c2)c3cc(Cl)cc(Cl)c3)S(=O)(=O)c4ccccc4Cl	CHEMBL3763708	pIC50=6.29
CN(C)C(=O)n1nnc(CCCc2ccccc2)n1	CHEMBL505359	pIC50=6.3
CC(C)(C)C(=O)c1coc(n1)C(=O)CCCCCCc2ccccc2	CHEMBL3752580	pIC50=6.32
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@@H](NC(=O)C)C(C)C	CHEMBL521467	pIC50=6.34
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@@H](NC(=O)C)C(C)CC	CHEMBL484215	pIC50=6.37
CS(=O)(=O)c1coc(n1)C(=O)CCCCCCc2ccccc2	CHEMBL3753217	pIC50=6.41
CN(C)C(=O)n1nnnc1CNC(=O)c2cccc(c2)c3ccccc3	CHEMBL519874	pIC50=6.47
OC(=O)CN(Cc1ccc(Oc2ccc(cn2)C(F)(F)F)cc1)S(=O)(=O)c3ccc(Cl)cc3	CHEMBL3319629	pIC50=6.52
FC(F)(F)c1coc(n1)C(=O)CCCCCCc2ccccc2	CHEMBL461544	pIC50=6.67
O=C(CCCCCc1ccccc1)c2oc3ccncc3n2	CHEMBL3753016	pIC50=6.69
O=C(CCCCc1ccccc1)c2oc3cccnc3n2	CHEMBL464186	pIC50=6.69
CN(C)C(=O)n1nnnc1CNC(=O)CCCCCCc2ccccc2	CHEMBL453043	pIC50=6.7
CCCCCCCC\C=C/CCCCCCCC(=O)c1nc2ccccc2[nH]1	CHEMBL3753992	pIC50=6.71
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)Cc3ccccc3Oc4ccccc4	CHEMBL3319618	pIC50=6.73
COc1cccc(c1)S(=O)(=O)N(CC(=O)O)C2(CCC2)c3cccc(c3)c4cc(Cl)cc(Cl)c4	CHEMBL3764430	pIC50=6.79
CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC)COP(=O)(C)F	CHEMBL473511	pIC50=6.8
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)Cc3cccc(Oc4ccc(cn4)C(F)(F)F)c3	CHEMBL3319621	pIC50=6.85
CN(C)C(=O)n1nnnc1CNC(=O)c2ccc(N=[N+]=[N-])c(I)c2	CHEMBL486037	pIC50=6.89
OC(=O)CN(C1(CC1)c2ccc(cc2)c3ccc(Cl)cc3Cl)S(=O)(=O)c4ccc(OC(F)F)cc4	CHEMBL3764007	pIC50=6.89
CC(=O)c1coc(n1)C(=O)CCCCCCc2ccccc2	CHEMBL461543	pIC50=6.91
FC(F)(F)C(=O)c1coc(n1)C(=O)CCCCCCc2ccccc2	CHEMBL461364	pIC50=6.91
Fc1cccc2oc(nc12)C(=O)CCCCCc3ccccc3	CHEMBL3754098	pIC50=6.93
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@@H]2CCC(=O)N2	CHEMBL484393	pIC50=7.0
C[C@@H](N(CC(=O)O)S(=O)(=O)c1ccc(OC(F)F)cc1)c2ccc(cc2)c3ccc(Cl)cc3Cl	CHEMBL3765497	pIC50=7.0
OC(=O)CN(Cc1cccc(Oc2ccccc2)c1)S(=O)(=O)c3ccc(Cl)cc3	CHEMBL3319623	pIC50=7.04
OC(=O)CN(C1(CCC1)c2ccc(cc2)c3ccc(Cl)cc3Cl)S(=O)(=O)c4ccc(OC(F)F)cc4	CHEMBL3765421	pIC50=7.06
[O-][N+](=O)c1ccc2nc(oc2c1)C(=O)CCCCCc3ccccc3	CHEMBL3753830	pIC50=7.06
OC(=O)CN(C1(CCC1)c2ccc(cc2)c3ccccc3OC(F)(F)F)S(=O)(=O)c4ccc(OC(F)F)cc4	CHEMBL3765022	pIC50=7.09
OC(=O)CN(C1(CCC1)c2cccc(c2)c3cc(Cl)cc(Cl)c3)S(=O)(=O)c4ccccc4	CHEMBL3765750	pIC50=7.1
OC(=O)CN(Cc1ccc(cc1)c2ccccc2)S(=O)(=O)c3ccc(OC(F)F)cc3	CHEMBL3765634	pIC50=7.1
CCCCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL1812708	pIC50=7.13
CCCCCCCCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL1812707	pIC50=7.13
OC(=O)CN(Cc1ccc(Oc2ccccc2)cc1)S(=O)(=O)c3ccc(Cl)cc3	CHEMBL3319625	pIC50=7.18
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)Cc3ccc(Oc4ccc(cn4)C(F)(F)F)cc3	CHEMBL3319622	pIC50=7.19
CCCCCCCCCCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL1812706	pIC50=7.19
O=C(NCCCCCCNC(=O)ON=C1CCCCC1)ON=C2CCCCC2	CHEMBL158897	pIC50=7.22
OC(=O)CN(C1(CCC1)c2cccc(c2)c3cc(Cl)cc(Cl)c3)S(=O)(=O)c4cccc(Cl)c4	CHEMBL3763964	pIC50=7.22
OC(=O)CN(Cc1cccc(c1)c2ccccc2OC(F)(F)F)S(=O)(=O)c3ccc(OC(F)F)cc3	CHEMBL3764377	pIC50=7.22
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)Cc3cccc(Oc4ccccc4)c3	CHEMBL3319619	pIC50=7.25
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)Cc3cccc(c3)c4ccccc4	CHEMBL3764044	pIC50=7.26
O=C(CCCCCCCc1ccccc1)c2oc3cccnc3n2	CHEMBL179760	pIC50=7.33
OC(=O)CN(C1(CCC1)c2cccc(c2)c3cc(Cl)cc(Cl)c3)S(=O)(=O)c4ccc(cc4)C#N	CHEMBL3765562	pIC50=7.35
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](C)NC=O	CHEMBL516323	pIC50=7.37
OC(=O)CN(C1(CC1)c2ccc(cc2)c3ccccc3OC(F)(F)F)S(=O)(=O)c4ccc(OC(F)F)cc4	CHEMBL3764349	pIC50=7.4
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)C3(CCC3)c4cccc(c4)c5cc(Cl)cc(Cl)c5	CHEMBL3764017	pIC50=7.43
O=C(CCCCCc1ccccc1)c2oc3cccnc3n2	CHEMBL175854	pIC50=7.43
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@@H](NC=O)C(C)C	CHEMBL457232	pIC50=7.46
CCCCCCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL257307	pIC50=7.51
OC(=O)CN(Cc1ccc(cc1)c2ccc(Cl)cc2Cl)S(=O)(=O)c3ccc(OC(F)F)cc3	CHEMBL3765546	pIC50=7.52
CCCCCCCC\C=C/CCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL35925	pIC50=7.58
C[C@H](N(CC(=O)O)S(=O)(=O)c1ccc(OC(F)F)cc1)c2ccc(cc2)c3ccc(Cl)cc3Cl	CHEMBL3765573	pIC50=7.75
OC(=O)CN(Cc1ccc(cc1)c2ccccc2OC(F)(F)F)S(=O)(=O)c3ccc(OC(F)F)cc3	CHEMBL3764778	pIC50=7.77
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@@H](NC=O)C(C)CC	CHEMBL521157	pIC50=7.8
OC(=O)CN(Cc1cccc(c1)c2cc(Cl)cc(Cl)c2)S(=O)(=O)c3ccc(OC(F)F)cc3	CHEMBL3765824	pIC50=7.8
OC(=O)CN(Cc1cccc(c1)c2cccc(Cl)c2Cl)S(=O)(=O)c3ccc(OC(F)F)cc3	CHEMBL3763853	pIC50=7.85
OC(=O)CN(c1cccc(c1)c2cccc(Cl)c2Cl)S(=O)(=O)c3ccc(OC(F)F)cc3	CHEMBL3764876	pIC50=7.85
OC(=O)CN(C1(CCC1)c2cccc(c2)c3cc(Cl)cc(Cl)c3)S(=O)(=O)c4ccc(OC(F)F)cc4	CHEMBL3765158	pIC50=7.96
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)C3(CCOC3)c4ccc(cc4)c5cc(Cl)cc(Cl)c5	CHEMBL3763430	pIC50=8.1
OC(=O)CN(C1(CCC1)c2cccc(c2)c3ccc(Cl)cc3Cl)S(=O)(=O)c4ccc(Cl)c(Cl)c4	CHEMBL3764093	pIC50=8.22
OC(=O)CN(C1(CCC1)c2cccc(c2)c3cc(Cl)cc(Cl)c3)S(=O)(=O)c4ccc(Cl)cc4	CHEMBL3763831	pIC50=8.4
O=C(CCCCCCCCc1ccccc1)c2oc3cccnc3n2	CHEMBL182199	pIC50=8.44
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)Cc3ccc(cc3)c4cc(Cl)cc(Cl)c4	CHEMBL3765716	pIC50=8.52
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)Cc3cccc(c3)c4cc(Cl)cc(Cl)c4	CHEMBL3763826	pIC50=8.52
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(=O)O)C3(CCCC3)c4cccc(c4)c5cc(Cl)cc(Cl)c5	CHEMBL3765578	pIC50=9.05
