COc1ccc2CC3N(CCc4cc(O)c(O)cc34)Cc2c1OC	CHEMBL2314747	pIC50=6.01
CC(C)CNC(=O)c1ccc(c(c1)C(=O)O)c2ccc(cc2C(=O)Nc3ccc(cc3)C(=N)N)C#CC(C)(C)O	CHEMBL500947	pIC50=6.03
CC(C)CNC(=O)c1ccc(c(c1)C(=O)O)c2ccc(cc2C(=O)Nc3ccc(cc3)C(=N)N)c4ccc(CO)s4	CHEMBL501218	pIC50=6.19
CC(C)CNC(=O)c1ccc(c(c1)C(=O)O)c2ccc(cc2C(=O)Nc3ccc(cc3)C(=N)N)c4cccnc4	CHEMBL504657	pIC50=6.26
COc1ccc2CC3N(CCc4cc5OCOc5cc34)Cc2c1OC(=O)c6ccccc6OC(=O)C	CHEMBL2314738	pIC50=6.26
CC(C)CNC(=O)c1ccc(c(c1)C(=O)O)c2ccc(cc2C(=O)Nc3ccc(cc3)C(=N)N)C#CCCO	CHEMBL501749	pIC50=6.3
COc1ccc2CC3N(CCc4cc5OCOc5cc34)Cc2c1OC(=O)c6ccccc6	CHEMBL2314737	pIC50=6.42
CC(C)CNC(=O)c1ccc(c(c1)C(=O)O)c2ccc(cc2C(=O)Nc3ccc(cc3)C(=N)N)c4sccc4CO	CHEMBL502292	pIC50=6.48
CC(C)CNC(=O)c1ccc(c(c1)C(=O)O)c2ccc(cc2C(=O)Nc3ccc(cc3)C(=N)N)C#CCO	CHEMBL502557	pIC50=6.5
CC(C)CNC(=O)c1ccc(c(c1)C(=O)O)c2ccc(cc2C(=O)Nc3ccc(cc3)C(=N)N)c4ccncc4	CHEMBL504391	pIC50=6.64
COc1cc(\C=C\C(=C\C(=O)\C=C\c2ccc(O)c(OC)c2)\O)ccc1O	CHEMBL116438	pIC50=6.7
COc1ccc2CC3N(CCc4cc5OCOc5cc34)Cc2c1OC(=O)\C=C\c6ccc(OC(=O)C)c(OC)c6	CHEMBL2314740	pIC50=6.7
CC(C)CNC(=O)c1ccc(c(c1)C(=O)O)c2ccc(cc2C(=O)Nc3ccc(cc3)C(=N)N)c4ccsc4C(=O)O	CHEMBL499829	pIC50=6.72
COc1ccc2CC3N(CCc4cc(OC)c(OC)cc34)Cc2c1O	CHEMBL2314745	pIC50=6.73
