CN(CS(O)(=O)=O)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1	metamizole	pIC50=4.0409584	pIC50=4.0409584	pIC50=4.0409584
CC(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1	propyphenazone	pIC50=4.48148584	pIC50=4.48148584	pIC50=4.48148584
CN1N(C(=O)C=C1C)C1=CC=CC=C1	phenazone	pIC50=3.08092189	pIC50=3.08092189	pIC50=3.08092189
S=C=NCCc1ccccc1	CHEMBL151649	pEC50=5.0
CC\C(=N/O)\C=C\c1ccc(F)cc1	CHEMBL3697713	pIC50=5.02
CCC1=C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@](C2)([C@@H]13)C(=O)OC	CHEMBL2163793	pEC50=5.05
Fc1cccc(c2ccc3[nH]ncc3c2)c1C(F)(F)F	CHEMBL3298246	pIC50=5.05
CC\C(=N/OC)\C(=C\c1ccc(F)cc1)\C	CHEMBL3697702	pIC50=5.08
CC1CCCN(C1C)C(=O)c2csc(Nc3ccc(C)cc3)n2	CHEMBL2418806	pIC50=5.1
CC[C@H]1C[C@@H]2CN3CCc4c([nH]c5ccc(OC)cc45)[C@](C2)([C@H]13)C(=O)OC	CHEMBL182120	pEC50=5.1
CC[C@H]1C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@](C2)([C@@H]13)C(=O)OC	CHEMBL3325770	pEC50=5.1
C\C(=C/c1ccc(F)cc1)\C(=N\O)\C(C)(C)C	CHEMBL3697705	pIC50=5.1
Cc1ccccc1c2ccc3[nH]ncc3c2	CHEMBL3298238	pIC50=5.11
Cn1ncc2cc(ccc12)c3ccccc3C(F)(F)F	CHEMBL3298921	pIC50=5.13
Cc1cc(CN2[C@H](CO)CC[C@@H]2c3ccc(F)cc3)cc(C)c1F	CHEMBL3752638	pIC50=5.17
Cc1cc(cc2cn[nH]c12)c3ccccc3C(F)(F)F	CHEMBL3298920	pIC50=5.17
C\C=C\C=C\C=C/CC\C=C\C(=O)NCC(C)(C)O	CHEMBL1084610	pEC50=5.18
Fc1ccc(cc1)[C@H]2CCCN2S(=O)(=O)c3ccc(F)cc3	CHEMBL3754794	pIC50=5.18
O=C\C=C\c1ccccc1	CHEMBL293492	pEC50=5.19
Cc1cccc2C(=O)N(CC(=O)NCCc3ccc(OC(F)F)cc3)C=Nc12	CHEMBL3787204	pIC50=5.2
CC(C)c1ccc(NC(=O)Cn2cnc3N(C)C(=O)N(C)C(=O)c23)cc1	CHEMBL1086310	pIC50=5.21
CC(C)c1ccc(C)cc1O	CHEMBL29411	pEC50=5.22
CC\C(=N/O)\C(=C\c1ccc(F)c(Cl)c1)\C	CHEMBL3697709	pIC50=5.22
CCC\C(=N/O)\C=C\c1ccc(F)cc1	CHEMBL3697712	pIC50=5.23
CCCCC\C=C\C=C\1/[C@@H](C\C=C/CCCC(=O)O)C=CC1=O	CHEMBL482477	pEC50=5.25
C=CC=O	CHEMBL721	pEC50=5.3
CC\C=C\C=O	CHEMBL256368	pEC50=5.3
CC\C(=N/O)\C(=C\c1cc(F)c(F)c(F)c1)\C	CHEMBL3697715	pIC50=5.33
CC\C(=N/O)\C(=C\c1ccccc1F)\C	CHEMBL3697703	pIC50=5.34
CCCC\C(=N/O)\C(=C\c1ccc(F)cc1)\C	CHEMBL3697706	pIC50=5.36
Fc1ccccc1c2ccc3[nH]ncc3c2	CHEMBL3298237	pIC50=5.4
FC(F)(F)c1cc(NCCc2ccccc2)cc(NC(=O)c3cccs3)c1	CHEMBL3311177	pIC50=5.41
CC1=C2SC(=CN2C(=O)N(Cc3ccccc3)C1=O)C(=O)NCc4ccccn4	CHEMBL3220448	pIC50=5.46
CC(C)(C)c1ccccc1c2ccc3[nH]ncc3c2	CHEMBL3298241	pIC50=5.47
FC(F)(F)Oc1ccccc1c2ccc3[nH]ncc3c2	CHEMBL3298244	pIC50=5.47
CC(C)\C(=N/O)\C(=C\c1ccc(F)cc1)\C	CHEMBL3697708	pIC50=5.48
O(c1ccccc1)c2ncnc3[nH]ccc23	CHEMBL3298432	pIC50=5.5
Cc1n[nH]c2ccc(cc12)c3ccccc3C(F)(F)F	CHEMBL3298252	pIC50=5.51
Fc1ccc(Oc2nccc3ccccc23)c(F)c1	CHEMBL3298212	pIC50=5.51
COc1ccc2c(Oc3ccc(F)cc3F)ncnc2c1	CHEMBL3297780	pIC50=5.52
Fc1ccc(Oc2ncnc3[nH]ccc23)cc1F	CHEMBL3298500	pIC50=5.52
FC(F)(F)c1cc(NCc2ccccc2)cc(NC(=O)c3cccs3)c1	CHEMBL3311176	pIC50=5.54
FC(F)(F)c1cc(NCc2cccs2)cc(NC(=O)c3cccs3)c1	CHEMBL3311175	pIC50=5.57
Fc1cccc(Oc2ncnc3[nH]ccc23)c1F	CHEMBL3298499	pIC50=5.57
CCCNc1cc(NC(=O)c2ccncc2)cc(c1)C(F)(F)F	CHEMBL3311187	pIC50=5.59
Fc1ccc(Oc2ncnc3[nH]cc(I)c23)c(F)c1	CHEMBL3298585	pIC50=5.6
COC(=O)Nc1cc(NC(=O)c2cccs2)cc(c1)C(F)(F)F	CHEMBL3311178	pIC50=5.64
CC1=C2SC(=CN2C(=O)N(Cc3ccccc3)C1=O)C(=O)NCc4ccc(Cl)cc4	CHEMBL3220232	pIC50=5.65
CC1=C2SC(=CN2C(=O)N(Cc3ccccc3)C1=O)C(=O)NCc4ccc(F)cc4	CHEMBL3220231	pIC50=5.65
Clc1ccc(CCc2oc(CN3C=Nc4ncccc4C3=O)nn2)cc1	CHEMBL3787328	pIC50=5.66
