NC1=C2C(=NC=N1)N(N=C2C1=CC=C(OC2=CC=CC=C2)C=C1)[C@@H]1CCCN(C1)C(=O)C=C	ibrutinib	pKi=9.14266777	pKi=9.14266777	pKi=9.14266777	pIC50=7.85
COc1ccc(cc1)c2ccc(C(=O)N)c3[nH]c4ccc(cc4c23)C(=O)N5CCN(C)CC5	CHEMBL3621460	pIC50=7.54
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c5ccc(nc45)c6ccccc6Cl	CHEMBL3652676	pIC50=7.55
CN1C=C(C=C(Nc2ccc(cn2)N3CCN(CC3)C(=O)C4CC4)C1=O)c5cccc(N6C=Cc7cc(cc(F)c7C6=O)C8CC8)c5CO	CHEMBL3358398	pIC50=7.55
COc1cccc(c1)c2ccc(C(=O)N)c3[nH]c4ccc(cc4c23)C(=O)N5CCN(C)CC5	CHEMBL3621458	pIC50=7.55
Cc1c(NC(=O)c2ccc(cc2)C(C)(C)C)cccc1c3nc(Nc4ccc(cc4)C(=O)N5CCN(CCO)CC5)c6ncn(C)c6n3	CHEMBL3263633	pIC50=7.55
Cc1cc2cn[nH]c2cc1c3cccc4c(N)c(nnc34)C(=O)N	CHEMBL3586447	pEC50=7.55
CN1CCN(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cccc(N5C=Cc6cc(cc(F)c6C5=O)C7CC7)c4CO)nc2	CHEMBL2057918	pIC50=7.56
CC(C)(C)c1ccc2C(=O)N(N=Cc2c1)c3cccc(c3CO)c4c[nH]c(c4)C(=O)N	CHEMBL3649450	pIC50=7.57
CN1Cc2cc(ccc2C(=O)N1c3cccc(c3CO)c4cc(C(=O)N)n(C)c4)C(C)(C)C	CHEMBL3649460	pIC50=7.57
COc1cc2c(Oc3ccc(cc3F)C4=CN=C(Nc5ccc(F)cc5)N(C)C4=O)ccnc2cc1OCCCN6CCOCC6	CHEMBL453737	pIC50=7.57
Cc1c(NS(=O)(=O)c2ccc(cc2)C(C)(C)C)cccc1c3nc(Nc4ccc(cc4)C(=O)N5CCOCC5)c6nc[nH]c6n3	CHEMBL3263658	pIC50=7.57
CC(C)(\C=C(/C#N)\C(=O)N1CCC[C@H]1Cn2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N(C6CC6)C7COC7	CHEMBL3702841	pIC50=7.59
CN(C)S(=O)(=O)N1CCC(=CC1)c2cc3c(ncnc3[nH]2)c4cccc(N5C=Cc6cc(cc(F)c6C5=O)C7CC7)c4CO	CHEMBL3402587	pIC50=7.59
CNC(=O)CCn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(Oc5ccccc5)cc4	CHEMBL3612844	pIC50=7.59
Cc1ccc(cc1NC(=O)c2ccc(cc2)C(C)(C)C)c3nc(Nc4ccc(cc4)C(=O)N5CCOCC5)c6nc[nH]c6n3	CHEMBL3263648	pIC50=7.59
CNC(=O)N1CCC(=CC1)c2cc3c(ncnc3[nH]2)c4cccc(N5C=Cc6cc(cc(F)c6C5=O)C7CC7)c4CO	CHEMBL3402586	pIC50=7.6
Cc1c(NC(=O)c2ccc(cc2)C(C)(C)C)cccc1c3nc(Nc4ccc(cc4)C(=O)N5CCNCC5)c6ncn(C)c6n3	CHEMBL3263632	pIC50=7.6
Cc1ccc(NC(=O)c2ccc(cc2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(N)c4)nc3	CHEMBL3290139	pIC50=7.6
OCc1c(cccc1c2ncnc3[nH]c(cc23)C4=CCN(CC4)C5COC5)N6C=Cc7cc(cc(F)c7C6=O)C8CC8	CHEMBL3402588	pIC50=7.61
CN1CCN(C)C(=O)C1c2ccc(NC3=NC(=CN(C)C3=O)c4ccc(F)c(NC(=O)c5cc6CCCCc6s5)c4)cc2	CHEMBL3747551	pIC50=7.62
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5ccccc5C)c34)C(=O)N	CHEMBL3621501	pIC50=7.62
Cc1ccc(NC(=O)\C=C\c2ccccc2)cc1C(=O)Nc3cnc(Nc4cccc(N)c4)nc3	CHEMBL3290140	pIC50=7.62
Nc1ncnc2N([C@@H]3CCCN(C3)C(=O)C=C)C(=O)N(c4ccc(Oc5ccccc5)cc4)c12	CHEMBL3809874	pIC50=7.62
CN1CCN(C)C(=O)C1c2ccc(NC3=NC(=CN(C)C3=O)c4ccc(Cl)c(NC(=O)c5cc6CCCCc6s5)c4F)cc2	CHEMBL3747268	pIC50=7.64
CN1CCn2nc(NC3=CC(=NNC3=O)c4cccc(N5CCn6c(cc7ccccc67)C5=O)c4C)cc2C1	CHEMBL3670079	pIC50=7.64
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL509032	pKd=7.64
CN(C)c1ccc2C(=O)N(CNc2c1)c3cccc(C4=CN(C)C(=O)C(=C4)Nc5ccc(cn5)C(=O)N6CCOCC6)c3C	CHEMBL3665116	pIC50=7.66
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5ccc(F)cc5F)c34)C(=O)N	CHEMBL3621516	pIC50=7.66
Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1C(=O)Nc4cnc(Nc5cccc(NC(=O)C=C)c5)nc4	CHEMBL3290151	pIC50=7.66
CC(=O)N1CCC(=CC1)c2cc3c(ncnc3[nH]2)c4cccc(N5C=Cc6cc(cc(F)c6C5=O)C7CC7)c4CO	CHEMBL3402583	pIC50=7.67
CN(C)C(=O)N1CCC(=CC1)c2cc3c(ncnc3[nH]2)c4cccc(N5C=Cc6cc(cc(F)c6C5=O)C7CC7)c4CO	CHEMBL3402584	pIC50=7.67
Cn1ccc(n1)c2cc3c(ncnc3[nH]2)c4cccc(N5C=Cc6cc(cc(F)c6C5=O)C7CC7)c4CO	CHEMBL3402576	pIC50=7.67
CN1C=C(C=C(Nc2ccc(cn2)C3CCN(CC3)C4COC4)C1=O)c5cccc(N6C=Cc7cc(cc(F)c7C6=O)C8CC8)c5CO	CHEMBL3358395	pIC50=7.68
Nc1ncc(c2cnn(CCC(=O)O)c2)c3scc(c4ccc(Oc5ccccc5)cc4)c13	CHEMBL3612846	pIC50=7.68
CC(C)\C=C(/C#N)\C(=O)N1CC(Cn2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)C1	CHEMBL3702842	pIC50=7.69
CN1CCN(C)C(=O)C1c2ccc(NC3=NC(=CN(C)C3=O)c4ccc(C)c(NC(=O)c5cc6CCCCc6s5)c4C)cc2	CHEMBL3746820	pIC50=7.7
