CC1(C)CCC2=C(O1)c3ccccc3C(=O)C2=O	CHEMBL15192	pIC50=6.01
CN1N=C(Cc2ccccc2)N=C3C(=O)N(C)C(=O)N=C13	CHEMBL1394266	pEC50=6.02
COc1ccc(cc1OC)C2=NN(C)C3=NC(=O)N(C)C(=O)C3=N2	CHEMBL2094689	pEC50=6.06
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3ccccc3	CHEMBL1527391	pEC50=6.11
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3cscn3	CHEMBL2420611	pEC50=6.11
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)C3CCCCC3	CHEMBL2420517	pEC50=6.13
NC(=O)Cc1cccc(c1)N2C3=NC(=O)NC(=O)C3=Cc4ccc(cc24)C#N	CHEMBL2420473	pEC50=6.14
CCc1ccc(cc1)C2=NN(C)C3=NC(=O)N(Cc4ccccc4)C(=O)C3=N2	CHEMBL2420514	pEC50=6.16
CCc1ccc(cc1)C2=NN(C)C3=NC(=O)NC(=O)C3=N2	CHEMBL2420512	pEC50=6.17
CN1N=C(CCc2ccccc2)N=C3C(=O)N(C)C(=O)N=C13	CHEMBL2420609	pEC50=6.17
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)C3CCCC3	CHEMBL2420516	pEC50=6.19
CS(=O)(=O)Nc1cccc(c1)N2C3=NC(=O)NC(=O)C3=Cc4ccc(cc24)C#N	CHEMBL2420474	pIC50=6.19
O=C1NC(=O)C2=Cc3ccc(cc3N(C2=N1)c4ccc5cn[nH]c5c4)C#N	CHEMBL2420478	pEC50=6.19
O=C1NC(=O)C2=Cc3ccc(cc3N(C2=N1)c4cccc(c4)c5nnn[nH]5)C#N	CHEMBL2420480	pIC50=6.23
Oc1cccc(c1)N2C3=NC(=O)NC(=O)C3=Cc4ccc(cc24)C#N	CHEMBL2420507	pIC50=6.28
CCCC1=NN(C)C2=NC(=O)N(C)C(=O)C2=N1	CHEMBL1325945	pEC50=6.29
O=C1NC(=O)C2=Cc3ccc(cc3N(C2=N1)c4ccccc4)C#N	CHEMBL2420506	pEC50=6.3
Oc1cccc(c1)N2C3=NC(=O)NC(=O)C3=Cc4ccc(Cl)cc24	CHEMBL2420503	pEC50=6.32
COc1cccc(c1)N2C3=NC(=O)NC(=O)C3=Cc4ccc(cc24)C#N	CHEMBL2420467	pEC50=6.33
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)C3CCOCC3	CHEMBL2420518	pEC50=6.37
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3ccc(Cl)cc3	CHEMBL1334062	pEC50=6.37
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3cccc(C)c3	CHEMBL2420617	pEC50=6.4
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)C3CC3	CHEMBL2420515	pEC50=6.43
O=C1NC(=O)C2=Cc3ccc(cc3N(C2=N1)c4cccc5[nH]ncc45)C#N	CHEMBL2420479	pEC50=6.43
CCc1ccc(cc1)C2=NN(CC3CC3)C4=NC(=O)N(C)C(=O)C4=N2	CHEMBL2420509	pEC50=6.44
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3ccc(cc3)C(F)(F)F	CHEMBL1096283	pEC50=6.48
COc1ccc(cc1O)N2C3=NC(=O)NC(=O)C3=Cc4ccc(cc24)C#N	CHEMBL2420469	pEC50=6.5
CCN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3ccc(CC)cc3	CHEMBL1569025	pEC50=6.52
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3ccc(C)cc3	CHEMBL1450796	pEC50=6.54
NS(=O)(=O)c1cccc(c1)N2C3=NC(=O)NC(=O)C3=Cc4ccc(cc24)C#N	CHEMBL2420477	pEC50=6.54
CCCN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3ccc(CC)cc3	CHEMBL2417582	pEC50=6.55
CCc1ccc(cc1)C2=NN(C)C3=NC(=O)N(C)C(=O)C3=N2	CHEMBL2420615	pEC50=6.55
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3ccc(OC(F)(F)F)cc3	CHEMBL2420616	pEC50=6.59
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3cc(C)cs3	CHEMBL2420612	pEC50=6.6
OCc1cccc(c1)N2C3=NC(=O)NC(=O)C3=Cc4ccc(cc24)C#N	CHEMBL2420466	pEC50=6.6
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3cc(Br)cs3	CHEMBL2420613	pEC50=6.7
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3ccc4ccccc4c3	CHEMBL2420610	pEC50=6.82
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c3cc(cs3)c4ccccc4	CHEMBL2420614	pEC50=6.92
Nc1cccc(c1)N2C3=NC(=O)NC(=O)C3=Cc4ccc(cc24)C#N	CHEMBL2420472	pEC50=7.05
Oc1ccc(cc1)N2C3=NC(=O)NC(=O)C3=Cc4ccc(cc24)C#N	CHEMBL2420465	pEC50=7.05
COc1ccc(cc1OC)c2csc(c2)C3=NN(C)C4=NC(=O)N(C)C(=O)C4=N3	CHEMBL2420481	pEC50=7.3
