CC1=NC2=C(N1)C1=C(C=CC=C1)N(CC2)C(=O)C1=CC=C(NC(=O)C2=C(C=CC=C2)C2=CC=CC=C2)C=C1	conivaptan	pKi=9.37	pKi=9.37	pKi=9.37	pKi=9.37
[H]N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=CC=C2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)NCC(N)=O	felypressin
[H]N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O	vasopressin	pKi=9.59	pKi=9.59	pKi=9.59
[H]N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)NCC(N)=O	lypressin
COc1ccc(cc1)S(=O)(=O)N2C(=O)[C@](N3CCC[C@H]3C(=O)N(C)C)(c4ccc(CN5CCCC5)cc4OC)c6cc(Cl)ccc26	CHEMBL1779406	pKi=7.0
Cc1ccc(F)cc1C(=O)Nc2ccc(C(=O)N3CCC4(CCC(=C4)CO)Cc5ccccc35)c(Cl)c2	CHEMBL248733	pIC50=7.0
Cc1ccc(F)cc1C(=O)Nc2ccc(C(=O)N3C[C@H]4COCCN4Cc5ccccc35)c(Cl)c2	CHEMBL328079	pKi=7.0
O=C(OCc1ccccc1)C(N2[C@H](\C=C\c3ccccc3)[C@H](N4[C@H](COC4=O)c5ccccc5)C2=O)C(=O)c6ccccc6	CHEMBL245086	pIC50=7.0
OC(=O)C1=CC2(CCN(C(=O)c3ccc(NC(=O)c4ccccc4F)cc3)c5ccccc5C2)CC1	CHEMBL400048	pIC50=7.0
OCCC1CCN(C(=O)c2ccc(NC(=O)c3ccccc3c4ccccc4)cc2)c5ccccc5S1	CHEMBL337725	pIC50=7.01
CC1(C)C[C@@H]2C[C@@](C)(CN2C(=O)c3ccc(c(Cl)c3Cl)c4cccc5ccccc45)C1	CHEMBL1085850	pKi=7.02
CC1(C)C[C@@H]2C[C@@](C)(CN2C(=O)c3ccc(cc3Cl)c4cccc5ccccc45)C1	CHEMBL1085123	pKi=7.02
COc1cc(C)c(c(C)c1C)S(=O)(=O)N[C@@H](Cc2ccc(Cl)cc2)C(=O)NCCCN3CCN(C)CC3	CHEMBL1773995	pKi=7.02
CC(=O)Nc1cccc(c1)c2ccc(c3ccc(C(=O)N4C[C@]5(C)C[C@H]4CC(C)(C)C5)c(Cl)c3)c6ccccc26	CHEMBL1084456	pKi=7.03
COc1ccc(c(OC)c1)S(=O)(=O)N2C(=O)[C@](N3C[C@H](O)C[C@H]3C(=O)N(C)C)(c4ccccc4OC)c5cc(Cl)ccc25	CHEMBL582857	pKi=7.03
COc1cc(ccc1c2ccc(s2)c3ccccc3)C(=O)N4C[C@]5(C)C[C@H]4CC(C)(C)C5	CHEMBL1084864	pKi=7.04
CN(C)CCCNC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(=O)C2(CC2)c3ccc(Cl)cc3	CHEMBL1807262	pKi=7.05
CN1[C@@H]2CC[C@H]1C[C@H](C2)NC(=O)C(Cc3ccc(Cl)cc3)NC(=O)Cc4ccccc4	CHEMBL1774007	pKi=7.05
COc1cc(c(Cl)cc1C(=O)N2C[C@]3(C)C[C@H]2CC(C)(C)C3)c4csc5ccccc45	CHEMBL1082835	pKi=7.06
Cc1ccccc1c2ccc(cc2)C(=O)N3Cc4cccn4Cc5ccccc35	CHEMBL198931	pIC50=7.06
NCCC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N	CHEMBL375096	pKi=7.06
CC(C)(C)C(=O)[C@H](N1C(\C=C\c2ccccc2)[C@H](N3[C@@H](COC3=O)c4ccccc4)C1=O)C(=O)N5CCC(CCN6CCCCC6)CC5	CHEMBL241859	pIC50=7.07
CCCCCN(CC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)C(=O)[C@@H]1CSCCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N1	CHEMBL3354585	pEC50=7.07
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC1=O)C(=O)N(CC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)C3CCC3	CHEMBL3353932	pEC50=7.07
Clc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4CCCCc5sccc45	CHEMBL347020	pIC50=7.07
Fc1cc(F)cc(c1)c2ccc(cc2)C(=O)N3Cc4cccn4Cc5ccccc35	CHEMBL372766	pIC50=7.07
O=C(Nc1ccc(cc1)C(=O)N2C[C@H]3CSCCN3Cc4ccccc24)c5ccccc5c6ccccc6	CHEMBL329903	pKi=7.08
CCOc1ccc2ccccc2c1C(=O)N3CCC4(CC3)OCc5ccccc45	CHEMBL3416859	pKi=7.09
Clc1cc2N(CCCCc2s1)C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3	CHEMBL159856	pIC50=7.09
NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CSSCCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CC(=O)N)C(=O)N2	CHEMBL2369847	pKi=7.1
CC(C)C[C@H](N1[C@H](\C=C\c2ccccc2)[C@H](N3[C@H](COC3=O)c4ccccc4)C1=O)C(=O)N5CCC(CCN6CCCCC6)CC5	CHEMBL388253	pIC50=7.11
COc1ccc(c(OC)c1)S(=O)(=O)N2C(=O)[C@](N3CCC[C@H]3C(=O)N(C)C)(c4cc(CN5CCCC5)ccc4OC)c6cc(Cl)ccc26	CHEMBL1779408	pKi=7.13
Cc1ccc(cc1)C(=O)Nc2ccc(cc2)C(=O)N3CCC4(CCCC=C4)Cc5ccccc35	CHEMBL320462	pIC50=7.13
NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CSSCCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](Cc5c[nH]c6ccccc56)C(=O)N[C@@H](CC(=O)N)C(=O)N2	CHEMBL2369840	pKi=7.13
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4nc5ccccc5[nH]4)\c6ccccc36)c(Cl)c2	CHEMBL510500	pKi=7.14
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4occc4)\c5ccccc35)c(Cl)c2	CHEMBL477456	pKi=7.14
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSCC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC1=O)C(=O)N(CC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)Cc3cccc(C)c3	CHEMBL3354592	pEC50=7.15
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)O	CHEMBL1765663	pKi=7.16
Cc1ccccc1C(=O)Nc2ccc(cc2)C(=O)N3CCCSc4ccccc34	CHEMBL3416766	pKi=7.17
Fc1ccccc1C(=O)Nc2ccc(cc2)C(=O)N3C[C@@H]4C5CCC(C5)N4Cc6cc(Cl)ccc36	CHEMBL319433	pIC50=7.17
Cc1ccccc1c2ccc(cc2)C(=O)N3C[C@@]4(C)C[C@@H]3CC(C)(C)C4	CHEMBL1083095	pKi=7.19
Cn1ncc2CN(C(=O)CCCCCCCN3CCN(Cc4cc(O)cc(O)c4)CC3)c5ccccc5Nc12	CHEMBL3763823	pKi=7.19
[O-][N+](=O)c1ccccc1c2ccc(cc2)C(=O)N3Cc4cccn4Cc5ccccc35	CHEMBL380579	pIC50=7.19
CC1(C)C[C@@H]2C[C@@](C)(CN2C(=O)c3ccc(cc3Cl)c4cc(Cl)c(cc4Cl)c5cccc6cccnc56)C1	CHEMBL1083480	pKi=7.2
CN(C)Cc1ccc2CN(C(=O)c3ccc(cc3)c4cccs4)c5ccccc5Cn12	CHEMBL371055	pIC50=7.2
CN(C)[C@@H]1CC[C@H](CC1)NC(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)C3(CC3)c4ccc(Cl)cc4	CHEMBL1807269	pKi=7.2
COc1ccc(cn1)N(Cc2ccc(cn2)c3ccccc3C)S(=O)(=O)c4cn(C)c(C)n4	CHEMBL456263	pKi=7.2
NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CSSCCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](Cc5cccs5)C(=O)N[C@@H](CC(=O)N)C(=O)N2	CHEMBL2369848	pKi=7.2
COc1cc(CN2CCN(CC2)C(=O)NCc3ccc(cc3C)C(=O)N4Cc5cnn(C)c5Nc6ccccc46)cc(OC)c1	CHEMBL3763951	pKi=7.21
NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(=O)N	CHEMBL1429	pKi=7.21
CO\N=C/1\C[C@@H](N(C1)C(=O)c2ccc(cc2)c3ccccc3C)c4onc(C)n4	CHEMBL1254210	pKi=7.22
NCCC1CCCCN1C(=O)C(N2[C@H](\C=C\c3ccccc3)[C@H](N4[C@H](COC4=O)c5ccccc5)C2=O)C(=O)NCc6cccc(c6)C(F)(F)F	CHEMBL396758	pKi=7.22
OC(=O)c1cc(ccc1C2=C3C=CC(=O)C=C3Oc4cc(O)ccc24)C(=O)NCCCCCC(=O)NCCNC(=O)CCc5ccc(cc5)S(=O)(=O)N(CC(=O)N\N=C\6/C(=O)Nc7ccccc67)c8ccc(Cl)cc8	CHEMBL3416749	pKd=7.22
CN(C)CCNC(=O)\C=C/1\c2ccccc2N(CCC1(F)F)C(=O)c3ccc(cc3Cl)n4ccc(C)n4	CHEMBL490049	pKi=7.23
COc1cc(ccc1c2ccc(Oc3ccccc3)cc2)C(=O)N4C[C@]5(C)C[C@H]4CC(C)(C)C5	CHEMBL1085300	pKi=7.23
Cc1ccc(cc1)c2ccccc2C(=O)Nc3ccc(cc3)C(=O)N4C[C@@H]5C6CCC(CC6)N5Cc7cc(Cl)ccc47	CHEMBL432009	pIC50=7.23
Cc1ccccc1C(=O)Nc2ccc(C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c2	CHEMBL310416	pIC50=7.23
CC[C@@H](C)[C@H]1NC(=O)[C@@H](NC(=O)CCSSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC1=O)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](CCCCNC(=O)c3ccc4C(=O)OC5(c6ccc(O)cc6Oc7cc(O)ccc57)c4c3)C(=O)NCN)c8ccc(O)cc8	CHEMBL1790718	pKi=7.24
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4cnccn4)\c5ccccc35)c(Cl)c2	CHEMBL474274	pKi=7.24
CCN(CCCN1CCN(C)CC1)C(=O)[C@H](Cc2ccc(Cl)cc2)NS(=O)(=O)c3c(C)cc(OC)c(C)c3C	CHEMBL1773996	pKi=7.25
CN1[C@@H]2CC[C@H]1C[C@H](C2)NC(=O)C(Cc3ccc(Cl)cc3)NC(=O)Cc4cccc(Cl)c4	CHEMBL1774009	pKi=7.25
CCOc1ccc(C[C@@H]2NC(=O)CCCSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H](NC2=O)[C@@H](C)CC)C(=O)N3C[C@H](C[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)OC)cc1	CHEMBL3353936	pIC50=7.26
COc1ccc(c(OC)c1)S(=O)(=O)N2C(=O)[C@](N3C[C@H](O)C[C@H]3C(=O)N(C)C)(c4cccnc4OC)c5cc(Cl)ccc25	CHEMBL1779400	pKi=7.26
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4nc5ccccc5s4)\c6ccccc36)c(Cl)c2	CHEMBL449517	pKi=7.26
Cc1nnc(c2ccc(cc2)c3ccccc3)n1c4ccccc4OCCC5CCNCC5	CHEMBL315251	pKi=7.26
CC(C)C[C@H](N1[C@H](\C=C\c2ccccc2)[C@H](N3[C@H](COC3=O)c4ccccc4)C1=O)C(=O)N5CCC(CC5)N6CCCCC6	CHEMBL397189	pIC50=7.27
NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CSSCCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(=O)N)C(=O)N2	CHEMBL375324	pKi=7.27
CC1(C)C[C@@H]2C[C@@](C)(CN2C(=O)c3ccc(cc3Cl)c4csc5ccccc45)C1	CHEMBL1084070	pKi=7.28
COc1cc(C)c(c(C)c1C)S(=O)(=O)N[C@H](Cc2ccc(Cl)cc2)C(=O)N(CCCN3CCN(C)CC3)Cc4ccccc4	CHEMBL1773858	pKi=7.29
